Rank,Player,Strikeouts
1,Suarez • SEA,103
2,Wisdom • CHC,98
3,Schwarber • PHI,92
4,Story • BOS,91
NA,Taylor • LAD,91
6,Duvall • ATL,89
7,Riley • ATL,88
8,Rodriguez • SEA,87
9,Cron • COL,86
10,Marsh • LAA,85
