RK,Name,POS,GP,AB,R,H,AVG,X2B,X3B,HR,RBI,TB,BB,K,SB,OBP,SLG,OPS,WAR
1,Eugenio SuarezSEA,3B,62,228,32,53,0.232,12,1,12,34,103,29,87,0,0.327,0.452,0.779,1.6
2,Patrick WisdomCHC,3B,59,209,32,47,0.225,13,0,12,31,96,24,82,2,0.309,0.459,0.769,0.6
3,Kyle SchwarberPHI,LF,61,222,41,46,0.207,10,0,16,34,104,40,80,3,0.332,0.468,0.801,1
4,Julio RodriguezSEA,CF,62,232,29,61,0.263,11,1,8,28,98,20,78,17,0.329,0.422,0.752,1.9
5,Trevor StoryBOS,2B,56,215,32,48,0.223,14,0,9,42,89,25,76,8,0.309,0.414,0.723,1.5
5,Chris TaylorLAD,DH,58,197,25,50,0.254,15,3,6,25,89,25,76,4,0.338,0.452,0.79,0.8
5,Austin RileyATL,3B,63,251,37,65,0.259,13,1,18,39,134,20,76,2,0.331,0.534,0.865,2.4
8,Adam DuvallATL,CF,62,214,30,44,0.206,10,1,7,25,77,18,74,0,0.271,0.36,0.631,-0.3
9,C.J. CronCOL,1B,63,246,36,71,0.289,14,2,14,43,131,16,73,0,0.34,0.533,0.872,1.8
10,Jared WalshLAA,1B,61,226,28,57,0.252,11,1,11,36,103,13,72,1,0.302,0.456,0.757,0.8
11,Adolis GarciaTEX,RF,60,238,35,59,0.248,10,2,12,41,109,14,71,10,0.293,0.458,0.751,1.7
12,Jorge SolerMIA,RF,57,217,29,47,0.217,12,0,12,29,95,25,70,0,0.306,0.438,0.744,0.7
12,Ryan McMahonCOL,2B,62,220,27,51,0.232,12,2,4,32,79,28,70,0,0.325,0.359,0.684,1.1
12,Cody BellingerLAD,CF,57,209,25,43,0.206,13,2,7,23,81,19,70,7,0.275,0.388,0.663,1
12,Dansby SwansonATL,SS,64,234,39,69,0.295,12,1,9,37,110,23,70,9,0.362,0.47,0.832,2.6
12,Rhys HoskinsPHI,1B,62,237,35,60,0.253,12,2,13,36,115,28,70,0,0.336,0.485,0.821,1.4
17,Joey GalloNYY,LF,51,156,20,29,0.186,3,0,8,15,56,23,68,1,0.291,0.359,0.649,0.2
17,Jorge MateoBAL,SS,57,195,18,41,0.21,9,2,4,15,66,8,68,16,0.245,0.338,0.584,1.4
17,Brandon MarshLAA,CF,56,186,24,47,0.253,6,0,6,30,71,14,68,3,0.307,0.382,0.689,0.9
20,Matt OlsonATL,1B,64,246,26,61,0.248,24,0,8,31,109,37,67,0,0.347,0.443,0.79,0.8
