Rank,Player,Strikeouts
1,Reyes • CLE,38
2,Swanson • ATL,36
3,Duvall • ATL,33
NA,Wisdom • CHC,33
NA,Rodriguez • SEA,33
6,Stanton • NYY,30
NA,Murphy • OAK,30
NA,Kelenic • SEA,30
9,Votto • CIN,29
NA,Adames • MIL,29
NA,Gallo • NYY,29
NA,Suarez • SEA,29
NA,Bichette • TOR,29
