Rank,Player,Strikeouts
1,Suarez • SEA,110
2,Wisdom • CHC,105
3,Taylor • LAD,100
NA,Schwarber • PHI,100
5,Story • BOS,95
6,Duvall • ATL,93
7,Rodriguez • SEA,91
8,Riley • ATL,90
NA,Swanson • ATL,90
NA,Marsh • LAA,90
