Rank,Player,Strikeouts
1,Suarez • SEA,92
2,Wisdom • CHC,87
3,Schwarber • PHI,84
4,Rodriguez • SEA,83
5,Story • BOS,82
6,Riley • ATL,81
7,Taylor • LAD,80
8,Duvall • ATL,79
9,Cron • COL,77
10,Marsh • LAA,76
