Rank,Player,Strikeouts
1,Suarez • SEA,142
2,Schwarber • PHI,136
3,Wisdom • CHC,132
4,García • TEX,122
5,Cron • COL,119
6,Marsh • LAA,117
7,Judge • NYY,116
8,Swanson • ATL,115
9,Olson • ATL,113
10,Hoskins • PHI,112
NA,Bichette • TOR,112
