Rank,Player,Strikeouts
1,Suarez • SEA,93
2,Wisdom • CHC,88
3,Schwarber • PHI,85
4,Story • BOS,84
5,Riley • ATL,83
NA,Rodriguez • SEA,83
7,Duvall • ATL,82
NA,Taylor • LAD,82
9,Marsh • LAA,78
10,Cron • COL,77
