Rank,Player,Strikeouts
1,Schwarber • PHI,191
2,Suarez • SEA,183
3,Swanson • ATL,171
4,Wisdom • CHC,169
NA,García • TEX,169
6,Judge • NYY,165
7,Voit • 2TM,164
8,Chapman • TOR,162
9,Pham • 2TM,160
10,Olson • ATL,158
