Rank,Player,Strikeouts
1,Schwarber • PHI,199
2,Suarez • SEA,190
3,Swanson • ATL,180
NA,Wisdom • CHC,180
5,García • TEX,178
6,Voit • 2TM,174
7,Judge • NYY,173
8,Chapman • TOR,170
9,Olson • ATL,166
10,Adames • MIL,165
NA,Hoskins • PHI,165
