Rank,Player,Strikeouts
1,Wisdom • CHC,60
NA,Suarez • SEA,60
3,Schwarber • PHI,58
4,Reyes • CLE,57
5,Swanson • ATL,56
6,Taylor • LAD,55
NA,Rodriguez • SEA,55
8,Duvall • ATL,53
9,Bellinger • LAD,52
10,Story • BOS,51
