Rank,Player,Strikeouts
1,Suarez • SEA,180
2,Schwarber • PHI,177
3,Wisdom • CHC,158
4,Swanson • ATL,157
5,García • TEX,156
6,Judge • NYY,152
7,Cron • COL,146
NA,Voit • 2TM,146
9,Pham • 2TM,145
10,Chapman • TOR,144
