Rank,Player,Strikeouts
1,Schwarber • PHI,193
2,Suarez • SEA,186
3,Swanson • ATL,178
4,García • TEX,172
5,Wisdom • CHC,171
6,Judge • NYY,167
NA,Voit • 2TM,167
8,Chapman • TOR,164
9,Olson • ATL,162
10,Pham • 2TM,161
