RK,Name,POS,GP,AB,R,H,AVG,X2B,X3B,HR,RBI,TB,BB,K,SB,OBP,SLG,OPS,WAR
1,Eugenio SuarezSEA,3B,88,325,42,78,0.24,17,1,16,47,145,43,119,0,0.334,0.446,0.78,2.2
1,Patrick WisdomCHC,3B,84,300,47,68,0.227,17,0,17,45,136,37,119,6,0.321,0.453,0.774,1.1
3,Kyle SchwarberPHI,LF,87,323,61,69,0.214,12,0,28,57,165,52,112,4,0.325,0.511,0.836,1.7
4,Trevor StoryBOS,2B,81,307,49,68,0.221,17,0,15,58,130,28,105,10,0.289,0.423,0.713,2.1
5,Chris TaylorLAD,LF,74,252,32,60,0.238,19,3,6,27,103,29,101,6,0.319,0.409,0.728,0.6
6,Dansby SwansonATL,SS,90,344,55,101,0.294,19,1,14,50,164,28,100,14,0.351,0.477,0.828,3.5
6,Austin RileyATL,3B,88,345,52,98,0.284,21,1,25,58,196,28,100,2,0.348,0.568,0.916,3.3
8,Brandon MarshLAA,LF,80,256,29,58,0.227,8,1,6,33,86,18,99,7,0.282,0.336,0.618,0.5
9,Adam DuvallATL,CF,82,274,37,56,0.204,14,1,11,34,105,21,98,0,0.269,0.383,0.652,-0.2
9,Adolis GarciaTEX,RF,82,327,48,78,0.239,16,4,15,51,147,19,98,13,0.281,0.45,0.731,2.1
9,Jared WalshLAA,1B,84,308,33,74,0.24,12,2,13,41,129,16,98,1,0.284,0.419,0.703,0.4
12,Mike TroutLAA,CF,79,282,55,76,0.27,17,2,24,51,169,39,97,1,0.368,0.599,0.967,3.8
12,Aaron JudgeNYY,CF,85,323,67,90,0.279,14,0,30,65,194,42,97,8,0.358,0.601,0.958,3.6
12,Cody BellingerLAD,CF,81,297,42,63,0.212,14,2,11,31,114,24,97,11,0.272,0.384,0.655,1.3
12,Julio RodriguezSEA,CF,87,329,50,90,0.274,17,2,15,44,156,25,97,21,0.333,0.474,0.807,3.5
16,Bo BichetteTOR,SS,88,370,48,97,0.262,20,0,14,49,159,23,96,6,0.305,0.43,0.735,1.2
17,Matt OlsonATL,1B,90,347,40,87,0.251,33,0,15,52,165,47,95,0,0.34,0.476,0.816,1.6
17,Joey GalloNYY,RF,72,211,29,35,0.166,4,1,10,21,71,36,95,1,0.287,0.336,0.624,0.1
17,Luke VoitSD,DH,68,248,29,55,0.222,15,0,10,36,100,34,95,1,0.315,0.403,0.718,0.5
17,Rhys HoskinsPHI,1B,88,326,47,81,0.248,18,2,18,43,157,44,95,0,0.34,0.482,0.821,2.2
21,C.J. CronCOL,1B,86,330,50,97,0.294,19,2,20,67,180,23,94,0,0.347,0.545,0.893,2.6
21,Franmil ReyesCLE,DH,57,218,21,48,0.22,8,0,8,26,80,13,94,1,0.265,0.367,0.632,-0.6
23,Jorge MateoBAL,SS,82,266,31,53,0.199,11,3,7,23,91,16,91,22,0.254,0.342,0.596,1.6
23,Randy ArozarenaTB,LF,85,327,40,82,0.251,20,2,10,40,136,22,91,18,0.311,0.416,0.727,0.9
25,Shohei OhtaniLAA,SP,86,322,50,83,0.258,15,2,19,56,159,42,89,10,0.347,0.494,0.841,1.5
26,Nick CastellanosPHI,RF,88,343,35,86,0.251,19,0,8,46,129,21,88,4,0.296,0.376,0.672,-0.9
26,Ryan McMahonCOL,3B,86,300,35,72,0.24,13,3,7,40,112,38,88,4,0.332,0.373,0.706,1.7
28,Christian YelichMIL,LF,84,316,56,79,0.25,12,3,8,31,121,44,87,13,0.345,0.383,0.728,1.7
29,Tommy PhamCIN,LF,79,294,51,72,0.245,10,1,11,36,117,39,85,7,0.332,0.398,0.73,1
