RK,Name,POS,GP,AB,R,H,AVG,X2B,X3B,HR,RBI,TB,BB,K,SB,OBP,SLG,OPS,WAR
1,Kyle SchwarberPHI,LF,144,542,90,115,0.212,20,2,40,85,259,75,190,8,0.31,0.478,0.788,1.1
2,Eugenio SuarezSEA,3B,142,511,72,120,0.235,23,2,31,84,240,71,183,0,0.335,0.47,0.805,4.6
3,Dansby SwansonATL,SS,151,594,93,165,0.278,31,1,21,88,261,47,170,18,0.332,0.439,0.771,5
4,Adolis GarciaTEX,RF,145,566,83,143,0.253,31,5,25,95,259,39,169,25,0.304,0.458,0.762,3.5
5,Patrick WisdomCHC,3B,125,435,63,92,0.211,25,0,24,62,189,52,168,7,0.304,0.434,0.739,0.9
6,Aaron JudgeNYY,CF,146,539,125,170,0.315,27,0,60,128,377,97,163,16,0.421,0.699,1.12,9.9
7,Luke VoitSD/WSH,1B,123,454,52,106,0.233,20,0,21,64,189,54,162,1,0.321,0.416,0.737,1.3
8,Matt ChapmanTOR,3B,145,505,80,119,0.236,27,1,27,75,229,62,161,2,0.327,0.453,0.78,3.7
9,Tommy PhamBOS/CIN,LF,135,522,87,129,0.247,22,1,17,60,204,52,158,8,0.32,0.391,0.71,1
9,Matt OlsonATL,1B,151,579,77,135,0.233,42,0,28,91,261,70,158,0,0.319,0.451,0.769,2.1
11,Chris TaylorLAD,LF,113,381,43,83,0.218,24,3,10,40,143,44,156,10,0.305,0.375,0.68,0.6
12,C.J. CronCOL,1B,142,547,77,146,0.267,28,3,29,101,267,41,155,0,0.325,0.488,0.813,2.7
12,Austin RileyATL,3B,149,578,85,163,0.282,38,2,37,92,316,51,155,2,0.353,0.547,0.9,6.1
14,Rhys HoskinsPHI,1B,145,545,77,136,0.25,30,2,29,76,257,68,153,2,0.338,0.472,0.809,3
15,Joey GalloLAD/NYY,LF,117,329,45,54,0.164,8,2,18,43,120,53,151,3,0.286,0.365,0.65,0.4
16,Christian YelichMIL,LF,143,537,94,139,0.259,25,4,12,53,208,81,149,17,0.36,0.387,0.747,2.7
16,Franmil ReyesCLE/CHC,DH,109,406,38,91,0.224,15,2,13,43,149,27,149,2,0.272,0.367,0.639,-1
16,Willy AdamesMIL,SS,129,517,82,126,0.244,30,0,31,95,249,49,149,8,0.308,0.482,0.79,4.8
16,Shohei OhtaniLAA,SP,146,539,85,146,0.271,28,6,34,90,288,71,149,11,0.358,0.534,0.893,3.6
20,Bo BichetteTOR,SS,149,612,87,175,0.286,42,1,24,91,291,40,147,12,0.331,0.475,0.806,3.3
21,Ryan McMahonCOL,3B,143,492,62,121,0.246,22,3,17,63,200,59,146,7,0.331,0.407,0.737,2.8
21,Brandon MarshPHI/LAA,CF,123,384,44,93,0.242,13,4,10,50,144,25,146,10,0.292,0.375,0.667,1.3
23,Teoscar HernandezTOR,RF,121,459,62,119,0.259,31,1,21,68,215,33,144,6,0.312,0.468,0.78,2.5
24,Julio RodriguezSEA,CF,129,500,81,140,0.28,24,3,27,73,251,40,143,25,0.342,0.502,0.844,5.7
25,Ian HappCHC,LF,147,536,68,144,0.269,40,2,17,69,239,54,142,8,0.34,0.446,0.786,4
26,Cody BellingerLAD,CF,133,468,67,94,0.201,25,3,17,58,176,38,141,14,0.262,0.376,0.638,1.1
27,Randy ArozarenaTB,LF,143,550,69,149,0.271,39,2,20,87,252,42,140,32,0.334,0.458,0.793,3.2
28,Javier BaezDET,SS,134,513,58,123,0.24,27,4,14,58,200,25,139,9,0.28,0.39,0.67,2.3
29,Jared WalshLAA,1B,118,423,41,91,0.215,18,2,15,44,158,27,138,2,0.269,0.374,0.642,-0.6
30,J.D. MartinezBOS,DH,129,497,67,134,0.27,40,1,12,55,212,50,137,0,0.339,0.427,0.766,0.7
30,Ryan MountcastleBAL,1B,134,513,58,126,0.246,26,0,22,81,218,38,137,4,0.299,0.425,0.724,1.3
32,Jorge MateoBAL,SS,138,454,57,100,0.22,22,7,13,48,175,24,136,33,0.266,0.385,0.651,3.2
32,Trent GrishamSD,CF,142,429,55,80,0.186,15,2,17,52,150,57,136,6,0.291,0.35,0.641,2.2
34,Seth BrownOAK,1B,139,460,49,105,0.228,25,2,23,63,203,44,135,9,0.299,0.441,0.741,1.6
34,Nathaniel LoweTEX,1B,145,552,69,169,0.306,25,3,25,72,275,43,135,2,0.361,0.498,0.859,3.2
36,Josh DonaldsonNYY,3B,123,445,56,101,0.227,27,0,15,58,173,51,133,2,0.313,0.389,0.702,2.8
37,Max MuncyLAD,3B,125,433,68,89,0.206,21,1,21,67,175,81,132,2,0.33,0.404,0.734,2.9
37,Daulton VarshoARI,RF,141,494,74,119,0.241,22,3,26,71,225,44,132,12,0.308,0.455,0.763,4.9
39,Paul GoldschmidtSTL,1B,143,535,103,171,0.32,40,0,35,112,316,77,131,6,0.408,0.591,0.999,7.7
39,Bryan ReynoldsPIT,CF,135,505,67,134,0.265,17,4,25,59,234,53,131,7,0.344,0.463,0.808,2.9
41,Mike YastrzemskiSF,CF,137,447,66,94,0.21,28,2,14,49,168,56,130,5,0.303,0.376,0.679,1.6
41,Trey ManciniBAL/HOU,DH,135,495,55,121,0.244,21,1,18,62,198,51,130,0,0.325,0.4,0.725,1.7
43,Jeremy PenaHOU,SS,127,490,66,121,0.247,19,1,19,53,199,22,129,11,0.285,0.406,0.691,4.2
44,Mike TroutLAA,CF,109,399,75,109,0.273,21,2,36,74,242,49,128,1,0.361,0.607,0.968,5.2
