RK,Name,POS,GP,AB,R,H,AVG,X2B,X3B,HR,RBI,TB,BB,K,SB,OBP,SLG,OPS,WAR
1,Eugenio SuarezSEA,3B,138,498,68,116,0.233,23,2,28,80,227,69,180,0,0.333,0.456,0.789,4
2,Kyle SchwarberPHI,LF,133,499,83,107,0.214,20,2,37,79,242,68,178,6,0.311,0.485,0.796,1.3
3,Patrick WisdomCHC,3B,117,411,60,89,0.217,25,0,22,58,180,51,158,7,0.311,0.438,0.749,1.1
3,Dansby SwansonATL,SS,139,546,91,156,0.286,30,1,19,82,245,45,158,17,0.341,0.449,0.79,5.1
3,Adolis GarciaTEX,RF,133,526,75,131,0.249,26,4,23,87,234,31,158,23,0.294,0.445,0.739,2.7
6,Aaron JudgeNYY,CF,136,501,112,154,0.307,23,0,55,120,342,87,153,16,0.412,0.683,1.095,8.7
7,Luke VoitSD/WSH,1B,113,414,49,95,0.229,19,0,19,60,171,51,147,1,0.321,0.413,0.734,1.1
8,C.J. CronCOL,1B,133,515,73,137,0.266,26,3,28,95,253,37,146,0,0.321,0.491,0.813,2.5
9,Tommy PhamBOS/CIN,LF,125,481,81,119,0.247,19,1,16,56,188,51,145,7,0.322,0.391,0.713,0.9
9,Austin RileyATL,3B,137,535,80,151,0.282,36,2,35,89,296,46,145,2,0.352,0.553,0.906,5.6
11,Matt ChapmanTOR,3B,132,463,73,109,0.235,26,1,24,66,209,55,144,2,0.324,0.451,0.775,3.2
12,Matt OlsonATL,1B,139,535,74,130,0.243,41,0,28,91,255,66,141,0,0.329,0.477,0.806,2.8
12,Rhys HoskinsPHI,1B,137,516,73,129,0.25,27,2,27,67,241,65,141,2,0.338,0.467,0.805,2.9
12,Bo BichetteTOR,SS,136,559,80,156,0.279,38,1,23,84,265,36,141,9,0.323,0.474,0.797,2.6
12,Shohei OhtaniLAA,SP,134,499,79,132,0.265,22,6,33,86,265,66,141,11,0.353,0.531,0.884,3.3
16,Chris TaylorLAD,LF,101,343,39,76,0.222,23,3,8,35,129,40,140,9,0.308,0.376,0.684,0.4
17,Brandon MarshPHI/LAA,CF,114,357,42,83,0.232,12,3,10,47,131,24,139,9,0.284,0.367,0.651,0.7
18,Joey GalloLAD/NYY,LF,108,301,42,50,0.166,7,2,16,37,109,48,138,2,0.287,0.362,0.649,0.2
18,Jared WalshLAA,1B,118,423,41,91,0.215,18,2,15,44,158,27,138,2,0.269,0.374,0.642,-0.7
20,Willy AdamesMIL,SS,118,475,72,109,0.229,25,0,27,81,215,40,137,5,0.288,0.453,0.741,3.1
20,Julio RodriguezSEA,CF,122,476,74,130,0.273,23,3,23,69,228,38,137,24,0.335,0.479,0.814,5
22,Christian YelichMIL,LF,132,493,88,128,0.26,22,4,12,49,194,75,136,16,0.361,0.394,0.754,2.6
22,Ryan McMahonCOL,3B,132,451,57,111,0.246,20,3,15,60,182,55,136,7,0.331,0.404,0.735,2.6
24,Franmil ReyesCLE/CHC,DH,99,374,36,87,0.233,15,2,13,42,145,22,135,2,0.275,0.388,0.663,-0.6
25,Cody BellingerLAD,CF,122,436,61,86,0.197,22,3,17,55,165,36,132,12,0.259,0.378,0.638,1.1
26,Teoscar HernandezTOR,RF,109,414,54,109,0.263,26,1,20,64,197,29,131,6,0.315,0.476,0.79,2.3
26,Ian HappCHC,LF,135,493,63,135,0.274,38,2,16,65,225,50,131,7,0.346,0.456,0.802,3.8
26,Randy ArozarenaTB,LF,132,504,62,136,0.27,36,2,19,76,233,40,131,28,0.335,0.462,0.797,3.1
29,Ryan MountcastleBAL,1B,124,482,56,119,0.247,26,0,21,78,208,33,129,4,0.294,0.432,0.726,0.9
30,Trent GrishamSD,CF,134,414,55,79,0.191,15,2,17,52,149,57,128,6,0.296,0.36,0.656,2.3
31,Josh DonaldsonNYY,3B,113,404,49,90,0.223,26,0,13,52,155,47,126,2,0.312,0.384,0.695,2.1
31,Jorge MateoBAL,SS,128,424,55,95,0.224,21,7,12,46,166,24,126,30,0.273,0.392,0.664,3.2
33,Javier BaezDET,SS,123,473,52,110,0.233,25,3,12,55,177,24,125,8,0.275,0.374,0.649,1.8
34,J.D. MartinezBOS,DH,119,461,64,127,0.275,38,0,11,52,198,47,124,0,0.346,0.43,0.775,0.7
34,Nick CastellanosPHI,RF,128,499,53,132,0.265,27,0,13,61,198,27,124,7,0.305,0.397,0.702,-0.2
34,Kole CalhounTEX,RF,110,362,36,74,0.204,14,1,12,47,126,24,124,2,0.263,0.348,0.611,-1
37,Seth BrownOAK,1B,129,429,46,99,0.231,23,2,21,55,189,36,123,8,0.294,0.441,0.735,1.1
38,Max MuncyLAD,3B,114,391,60,77,0.197,17,1,19,57,153,74,122,2,0.323,0.391,0.715,2.1
38,Nathaniel LoweTEX,1B,133,506,64,154,0.304,22,3,24,68,254,40,122,2,0.358,0.502,0.86,2.8
40,Paul GoldschmidtSTL,1B,133,499,101,162,0.325,36,0,35,109,303,73,120,6,0.413,0.607,1.02,7.5
40,Trevor StoryBOS,2B,93,354,53,85,0.24,22,0,16,66,155,32,120,13,0.305,0.438,0.743,2.6
42,Mike YastrzemskiSF,CF,127,409,59,86,0.21,26,2,12,45,152,56,119,5,0.31,0.372,0.682,1.6
43,Mike TroutLAA,CF,99,361,71,101,0.28,20,2,34,67,227,45,118,1,0.369,0.629,0.998,4.9
43,Trey ManciniBAL/HOU,DH,123,454,52,115,0.253,19,1,16,58,184,45,118,0,0.331,0.405,0.737,1.9
43,Jeremy PenaHOU,SS,115,440,56,110,0.25,17,1,17,47,180,19,118,9,0.286,0.409,0.695,4
46,Pete AlonsoNYM,1B,139,521,76,139,0.267,24,0,33,108,262,55,117,3,0.343,0.503,0.846,3.3
46,Bryan ReynoldsPIT,CF,122,454,59,116,0.256,15,4,21,51,202,47,117,6,0.335,0.445,0.78,2.2
46,Daulton VarshoARI,RF,127,452,67,110,0.243,20,3,24,68,208,41,117,9,0.31,0.46,0.77,4
49,Nelson CruzWSH,DH,123,442,50,105,0.238,16,0,10,64,151,49,116,4,0.317,0.342,0.659,0.3
49,Robbie GrossmanATL/DET,LF,113,361,35,75,0.208,16,1,5,38,108,51,116,6,0.314,0.299,0.613,0.3
