Rank,Player,Strikeouts
1,Suarez • SEA,158
2,Wisdom • CHC,151
3,Schwarber • PHI,144
4,García • TEX,134
5,Swanson • ATL,133
6,Walsh • LAA,131
NA,Voit • 2TM,131
8,Olson • ATL,129
9,Judge • NYY,128
10,Cron • COL,127
NA,Marsh • 2TM,127
