RK,Name,POS,GP,AB,R,H,AVG,X2B,X3B,HR,RBI,TB,BB,K,SB,OBP,SLG,OPS,WAR
1,Eugenio SuarezSEA,3B,71,263,35,61,0.232,14,1,13,37,116,34,98,0,0.327,0.441,0.768,1.6
2,Patrick WisdomCHC,3B,67,238,37,55,0.231,14,0,14,37,111,27,93,2,0.316,0.466,0.782,0.8
3,Chris TaylorLAD,DH,65,226,27,56,0.248,18,3,6,26,98,25,89,4,0.325,0.434,0.759,0.7
3,Kyle SchwarberPHI,LF,70,256,50,55,0.215,11,0,20,41,126,47,89,3,0.34,0.492,0.832,1.5
5,Trevor StoryBOS,2B,64,246,40,56,0.228,15,0,11,48,104,27,86,9,0.308,0.423,0.731,1.9
6,Adam DuvallATL,CF,70,239,32,48,0.201,10,1,8,27,84,21,85,0,0.269,0.351,0.62,-0.1
6,Julio RodriguezSEA,CF,71,270,36,73,0.27,14,1,10,34,119,21,85,19,0.332,0.441,0.773,2.3
8,Austin RileyATL,3B,70,274,39,69,0.252,14,1,18,41,139,22,84,2,0.322,0.507,0.83,1.9
9,Brandon MarshLAA,CF,65,215,25,50,0.233,7,0,6,30,75,16,82,4,0.288,0.349,0.637,1.2
10,C.J. CronCOL,1B,71,277,45,81,0.292,15,2,17,52,151,19,81,0,0.343,0.545,0.888,2.1
11,Joey GalloNYY,LF,59,176,24,31,0.176,4,0,9,18,62,28,80,1,0.289,0.352,0.641,0.3
12,Dansby SwansonATL,SS,72,266,47,81,0.305,14,1,12,41,133,25,79,11,0.369,0.5,0.869,3.2
12,Jared WalshLAA,1B,69,253,31,66,0.261,12,2,13,40,121,14,79,1,0.307,0.478,0.786,1.2
14,Luke VoitSD,DH,53,199,27,46,0.231,13,0,9,32,86,26,78,1,0.32,0.432,0.752,0.8
15,Jorge SolerMIA,RF,64,243,31,53,0.218,13,0,13,33,105,29,77,0,0.308,0.432,0.74,0.8
15,Ryan McMahonCOL,2B,69,246,29,60,0.244,13,2,6,37,95,32,77,0,0.337,0.386,0.723,1.5
15,Cody BellingerLAD,CF,64,239,31,50,0.209,13,2,9,27,94,20,77,9,0.272,0.393,0.665,1.3
15,Adolis GarciaTEX,RF,67,265,43,68,0.257,12,3,14,46,128,14,77,11,0.296,0.483,0.779,2.2
19,Jorge MateoBAL,SS,65,219,20,43,0.196,9,2,4,16,68,10,76,19,0.241,0.311,0.552,1.1
19,Rhys HoskinsPHI,1B,71,265,37,66,0.249,13,2,13,37,122,35,76,0,0.34,0.46,0.8,1.3
19,Bo BichetteTOR,SS,69,293,39,75,0.256,15,0,11,38,123,19,76,5,0.301,0.42,0.721,1.3
22,Mike TroutLAA,CF,64,228,51,66,0.289,15,2,22,45,151,34,75,0,0.391,0.662,1.053,3.9
22,Aaron JudgeNYY,RF,69,264,58,79,0.299,11,0,27,53,171,34,75,5,0.374,0.648,1.022,3.8
24,Shohei OhtaniLAA,SP,70,268,44,70,0.261,13,1,15,46,130,29,74,7,0.338,0.485,0.823,1.1
25,Christian YelichMIL,LF,70,265,44,65,0.245,11,2,7,26,101,35,73,11,0.336,0.381,0.717,1.1
26,Nick CastellanosPHI,LF,71,273,30,66,0.242,17,0,7,36,104,21,71,2,0.299,0.381,0.68,-0.5
26,Randy ArozarenaTB,RF,68,261,30,65,0.249,14,2,7,31,104,14,71,12,0.301,0.398,0.7,0.4
28,Trent GrishamSD,CF,71,236,29,45,0.191,10,2,6,27,77,30,70,2,0.289,0.326,0.615,1
29,Eduardo EscobarNYM,3B,66,250,30,57,0.228,16,3,6,29,97,23,69,0,0.288,0.388,0.676,0
29,Matt OlsonATL,1B,72,274,29,69,0.252,29,0,10,39,128,41,69,0,0.349,0.467,0.816,1.2
29,Bobby Witt Jr.KC,SS,67,258,38,62,0.24,16,5,10,36,118,14,69,10,0.284,0.457,0.742,0.8
32,Marcell OzunaATL,DH,68,266,34,60,0.226,9,0,13,29,108,18,67,2,0.277,0.406,0.683,-0.5
33,Sean MurphyOAK,C,65,234,25,51,0.218,16,1,8,28,93,21,66,0,0.294,0.397,0.691,0.6
33,Bryan ReynoldsPIT,LF,67,252,32,64,0.254,8,3,12,23,114,27,66,3,0.329,0.452,0.781,1.4
33,Jazz Chisholm Jr.MIA,2B,58,208,39,53,0.255,9,4,14,45,112,21,66,12,0.328,0.538,0.866,2.4
36,Salvador PerezKC,C,57,223,25,47,0.211,13,1,11,34,95,9,65,0,0.254,0.426,0.68,1.1
36,Robbie GrossmanDET,LF,55,183,17,38,0.208,7,0,2,17,51,26,65,2,0.315,0.279,0.594,-0.3
36,Matt ChapmanTOR,3B,65,228,36,49,0.215,12,0,9,30,88,25,65,0,0.3,0.386,0.686,1.2
36,Andrew VelazquezLAA,SS,65,188,21,33,0.176,6,0,4,18,51,9,65,10,0.223,0.271,0.494,0.8
36,Daulton VarshoARI,CF,65,239,32,56,0.234,13,0,9,28,96,18,65,4,0.298,0.402,0.7,1.2
41,Avisail GarciaMIA,RF,59,221,21,50,0.226,7,0,5,21,72,8,64,3,0.264,0.326,0.59,-0.2
41,Tommy PhamCIN,LF,62,225,42,56,0.249,9,0,10,29,95,34,64,5,0.346,0.422,0.768,1.3
41,Franmil ReyesCLE,DH,38,146,11,30,0.205,3,0,4,14,45,10,64,0,0.259,0.308,0.568,-0.9
41,Brett PhillipsTB,RF,52,140,14,23,0.164,4,0,4,10,39,11,64,6,0.229,0.279,0.507,0.7
41,Ryan MountcastleBAL,1B,60,239,31,66,0.276,14,0,12,37,116,12,64,2,0.311,0.485,0.796,1.3
41,Seth BrownOAK,LF,67,212,21,46,0.217,12,2,9,33,89,18,64,7,0.28,0.42,0.7,0.2
41,Pete AlonsoNYM,DH,71,263,43,73,0.278,10,0,20,66,143,29,64,2,0.356,0.544,0.9,1.8
48,Giancarlo StantonNYY,DH,58,207,26,51,0.246,5,0,16,46,104,29,63,0,0.335,0.502,0.837,1.1
48,Jake CronenworthSD,SS,71,276,45,68,0.246,18,2,7,41,111,31,63,1,0.336,0.402,0.739,2.6
48,Nathaniel LoweTEX,1B,64,240,27,66,0.275,9,1,9,28,104,17,63,1,0.323,0.433,0.756,0.7
