RK,Name,POS,GP,AB,R,H,AVG,X2B,X3B,HR,RBI,TB,BB,K,SB,OBP,SLG,OPS,WAR
1,Eugenio SuarezSEA,3B,125,448,61,102,0.228,22,2,23,71,197,66,169,0,0.335,0.44,0.774,3.7
2,Patrick WisdomCHC,3B,117,411,60,89,0.217,25,0,22,58,180,51,158,7,0.311,0.438,0.749,1.2
2,Kyle SchwarberPHI,LF,120,446,78,95,0.213,18,1,35,73,220,63,158,6,0.313,0.493,0.807,1.5
4,Adolis GarciaTEX,CF,121,481,71,123,0.256,25,4,20,78,216,29,147,21,0.301,0.449,0.75,2.9
5,Dansby SwansonATL,SS,127,497,83,144,0.29,28,1,16,73,222,40,141,16,0.344,0.447,0.791,4.7
6,Jared WalshLAA,1B,118,423,41,91,0.215,18,2,15,44,158,27,138,2,0.269,0.374,0.642,-0.6
7,Aaron JudgeNYY,RF,122,454,101,135,0.297,20,0,49,109,302,73,135,14,0.397,0.665,1.063,7.4
7,Luke VoitSD/WSH,1B,99,360,45,81,0.225,18,0,17,54,150,44,135,1,0.316,0.417,0.733,0.6
9,Bo BichetteTOR,SS,122,502,65,131,0.261,31,0,17,66,213,29,133,8,0.3,0.424,0.724,1.5
10,C.J. CronCOL,1B,120,466,65,126,0.27,26,3,24,84,230,33,131,0,0.324,0.494,0.818,2.2
10,Rhys HoskinsPHI,1B,125,466,66,115,0.247,23,2,26,64,220,62,131,2,0.339,0.472,0.811,2.8
12,Matt OlsonATL,1B,127,492,67,125,0.254,40,0,27,87,246,61,130,0,0.338,0.5,0.838,2.9
12,Austin RileyATL,3B,125,488,73,138,0.283,34,2,31,82,269,42,130,2,0.353,0.551,0.905,4.8
14,Matt ChapmanTOR,3B,118,413,66,97,0.235,20,1,24,62,191,44,129,2,0.317,0.462,0.779,2.7
15,Tommy PhamBOS/CIN,LF,111,424,71,104,0.245,19,1,14,52,167,46,127,7,0.318,0.394,0.712,0.5
15,Brandon MarshPHI/LAA,LF,105,324,36,74,0.228,11,2,8,39,113,24,127,9,0.285,0.349,0.634,0.7
17,Chris TaylorLAD,LF,90,309,38,71,0.23,22,3,8,32,123,35,126,8,0.309,0.398,0.708,0.5
17,Shohei OhtaniLAA,SP,122,451,70,118,0.262,19,6,27,75,230,61,126,11,0.353,0.51,0.863,2.6
17,Julio RodriguezSEA,CF,109,424,64,113,0.267,19,3,20,64,198,31,126,23,0.326,0.467,0.793,4.3
20,Christian YelichMIL,LF,119,445,79,113,0.254,19,4,9,39,167,68,124,16,0.356,0.375,0.732,2.2
21,Randy ArozarenaTB,LF,120,454,54,117,0.258,28,2,17,66,200,39,123,23,0.329,0.441,0.77,2.1
22,Joey GalloLAD/NYY,LF,96,268,40,46,0.172,6,2,15,31,101,46,122,2,0.295,0.377,0.672,0.5
22,Ryan McMahonCOL,3B,120,416,52,104,0.25,20,3,13,58,169,52,122,7,0.337,0.406,0.743,2.7
24,Nick CastellanosPHI,RF,125,489,52,131,0.268,27,0,12,60,194,27,121,7,0.309,0.397,0.706,-0.5
24,Franmil ReyesCLE/CHC,RF,87,330,29,75,0.227,13,2,11,36,125,16,121,2,0.263,0.379,0.642,-0.6
24,Willy AdamesMIL,SS,102,406,62,92,0.227,20,0,25,73,187,38,121,5,0.292,0.461,0.752,2.9
24,Cody BellingerLAD,CF,112,408,58,85,0.208,22,3,17,54,164,31,121,11,0.265,0.402,0.667,1.5
28,Jorge MateoBAL,SS,117,390,52,89,0.228,19,6,12,43,156,21,119,28,0.276,0.4,0.676,2.9
29,Ryan MountcastleBAL,1B,110,431,51,107,0.248,24,0,18,65,185,29,118,4,0.296,0.429,0.725,1.2
30,Josh DonaldsonNYY,3B,103,372,44,84,0.226,25,0,12,50,145,42,117,2,0.311,0.39,0.701,2.5
30,Teoscar HernandezTOR,RF,100,377,51,98,0.26,24,1,18,59,178,26,117,6,0.311,0.472,0.783,2.2
30,Ian HappCHC,LF,123,447,57,125,0.28,33,2,15,62,207,47,117,7,0.353,0.463,0.816,3.5
30,Trent GrishamSD,CF,122,387,50,75,0.194,15,2,15,47,139,53,117,5,0.298,0.359,0.657,2.3
34,Byron BuxtonMIN,CF,92,340,61,76,0.224,13,3,28,51,179,34,116,6,0.306,0.526,0.833,4.1
35,J.D. MartinezBOS,DH,108,418,59,115,0.275,36,0,9,46,178,41,113,0,0.343,0.426,0.769,0.7
35,Nathaniel LoweTEX,1B,120,457,59,136,0.298,20,3,21,63,225,33,113,2,0.348,0.492,0.84,2.2
37,Javier BaezDET,SS,110,424,44,94,0.222,24,2,11,45,155,20,112,8,0.263,0.366,0.629,1.2
38,Nelson CruzWSH,DH,113,407,46,96,0.236,16,0,10,61,142,44,110,4,0.314,0.349,0.662,0.3
39,Kole CalhounTEX,RF,100,332,35,69,0.208,14,1,11,43,118,22,109,2,0.266,0.355,0.621,-0.7
39,Marcell OzunaATL,LF,108,417,50,89,0.213,14,0,20,46,163,27,109,2,0.262,0.391,0.653,-1.3
41,Paul GoldschmidtSTL,1B,119,450,90,152,0.338,34,0,33,105,285,62,108,5,0.419,0.633,1.052,7.1
41,Bobby DalbecBOS,1B,108,295,37,61,0.207,9,2,11,34,107,29,108,3,0.281,0.363,0.644,-0.6
41,Daulton VarshoARI,C,115,408,57,97,0.238,18,3,18,58,175,38,108,8,0.308,0.429,0.737,3
44,Max MuncyLAD,3B,103,346,51,65,0.188,16,1,16,51,131,71,107,2,0.325,0.379,0.703,1.9
44,Jake CronenworthSD,2B,124,464,74,112,0.241,24,3,13,66,181,59,107,2,0.343,0.39,0.733,3.6
46,Robbie GrossmanATL/DET,RF,101,327,32,70,0.214,15,1,4,33,99,45,106,4,0.318,0.303,0.62,0.4
46,Jesus AguilarMIA,1B,113,415,37,98,0.236,18,0,15,49,161,27,106,1,0.286,0.388,0.674,-0.6
46,Trey ManciniBAL/HOU,1B,111,417,48,109,0.261,18,1,16,57,177,38,106,0,0.333,0.424,0.758,2.1
46,Bobby Witt Jr.KC,SS,116,449,63,114,0.254,21,6,18,64,201,22,106,24,0.295,0.448,0.743,0.6
50,Mike TroutLAA,CF,86,310,58,84,0.271,17,2,27,56,186,40,105,1,0.363,0.6,0.963,4
