RK,Name,POS,GP,AB,R,H,AVG,X2B,X3B,HR,RBI,TB,BB,K,SB,OBP,SLG,OPS,WAR
1,Patrick WisdomCHC,3B,47,165,29,38,0.23,10,0,11,26,81,16,68,2,0.304,0.491,0.795,0.9
2,Eugenio SuarezSEA,3B,49,181,27,40,0.221,10,1,9,24,79,21,67,0,0.307,0.436,0.744,1.1
3,Kyle SchwarberPHI,LF,49,177,28,34,0.192,6,0,12,25,76,30,66,2,0.314,0.429,0.744,0.2
4,Trevor StoryBOS,2B,45,171,27,38,0.222,10,0,9,37,75,21,61,6,0.313,0.439,0.752,1.3
4,Adam DuvallATL,CF,50,173,18,33,0.191,8,0,2,16,47,14,61,0,0.257,0.272,0.528,-0.9
4,Chris TaylorLAD,DH,47,161,22,42,0.261,10,3,5,23,73,21,61,3,0.346,0.453,0.799,0.6
7,Dansby SwansonATL,SS,51,180,28,48,0.267,9,1,6,24,77,17,60,8,0.332,0.428,0.759,1.6
7,Austin RileyATL,3B,50,197,25,51,0.259,11,0,13,28,101,17,60,2,0.33,0.513,0.843,1.1
7,Julio RodriguezSEA,CF,49,186,21,50,0.269,8,1,6,24,78,13,60,14,0.32,0.419,0.739,1.2
10,Franmil ReyesCLE,DH,35,133,9,26,0.195,2,0,3,12,37,10,57,0,0.255,0.278,0.533,-0.8
10,Rhys HoskinsPHI,1B,50,189,25,42,0.222,8,1,8,25,76,22,57,0,0.302,0.402,0.704,0.5
12,C.J. CronCOL,1B,50,196,30,60,0.306,10,1,13,38,111,13,56,0,0.36,0.566,0.926,1.9
12,Adolis GarciaTEX,RF,47,186,27,42,0.226,10,2,8,32,80,9,56,6,0.266,0.43,0.696,0.6
14,Ryan McMahonCOL,2B,49,176,26,43,0.244,11,2,4,26,70,22,55,0,0.338,0.398,0.736,1.2
14,Cody BellingerLAD,CF,46,165,20,36,0.218,11,2,5,18,66,15,55,6,0.287,0.4,0.687,1.1
16,Bo BichetteTOR,SS,49,204,25,52,0.255,13,0,7,25,86,13,54,4,0.3,0.422,0.721,0.7
17,Christian YelichMIL,LF,50,186,31,43,0.231,9,2,5,21,71,25,53,7,0.326,0.382,0.707,0.7
17,Matt OlsonATL,1B,51,190,21,49,0.258,23,0,6,22,90,33,53,0,0.369,0.474,0.843,1
17,Joey GalloNYY,LF,41,123,13,22,0.179,2,0,5,7,39,18,53,0,0.284,0.317,0.601,0
17,Aaron JudgeNYY,RF,47,178,39,54,0.303,9,0,18,38,117,21,53,3,0.371,0.657,1.029,2.2
17,Jared WalshLAA,1B,47,172,23,43,0.25,8,0,10,29,81,12,53,1,0.303,0.471,0.774,0.5
22,Eduardo EscobarNYM,3B,48,183,23,41,0.224,13,2,3,16,67,22,52,0,0.304,0.366,0.67,0.1
22,Sean MurphyOAK,C,48,174,21,35,0.201,14,1,5,22,66,17,52,0,0.281,0.379,0.66,0.5
22,Randy ArozarenaTB,RF,48,186,22,48,0.258,12,1,5,21,77,11,52,7,0.305,0.414,0.719,0.4
22,Pavin SmithARI,RF,47,151,14,33,0.219,5,0,7,25,59,18,52,1,0.302,0.391,0.693,0.6
26,Nick CastellanosPHI,LF,51,195,25,50,0.256,13,0,7,28,84,14,51,2,0.311,0.431,0.742,0
26,Robbie GrossmanDET,LF,42,141,13,28,0.199,6,0,0,10,34,21,51,2,0.311,0.241,0.553,-0.2
26,Jorge SolerMIA,RF,45,173,23,38,0.22,10,0,11,27,81,22,51,0,0.315,0.468,0.783,0.8
26,Jorge MateoBAL,SS,46,164,14,36,0.22,9,2,3,12,58,6,51,13,0.251,0.354,0.605,1.5
26,Shohei OhtaniLAA,SP,49,189,34,47,0.249,9,0,11,32,89,18,51,7,0.324,0.471,0.795,0.9
26,Jesus SanchezMIA,RF,45,155,20,36,0.232,5,3,6,17,65,10,51,0,0.287,0.419,0.707,0.2
32,Trent GrishamSD,CF,48,156,11,25,0.16,6,2,3,18,44,21,50,0,0.268,0.282,0.55,0
32,Brandon MarshLAA,CF,43,145,18,40,0.276,5,0,4,26,57,11,50,3,0.329,0.393,0.722,1.1
34,Mike TroutLAA,CF,45,162,37,49,0.302,13,1,13,28,103,24,49,0,0.402,0.636,1.038,3
34,Bobby Witt Jr.KC,SS,48,181,23,41,0.227,13,3,6,24,78,8,49,7,0.269,0.431,0.7,0.4
34,Seiya SuzukiCHC,RF,41,139,20,34,0.245,12,1,4,21,60,21,49,3,0.344,0.432,0.775,0.7
37,Avisail GarciaMIA,RF,42,157,11,35,0.223,3,0,3,14,47,4,48,3,0.248,0.299,0.548,-0.8
37,Marcell OzunaATL,DH,51,196,21,46,0.235,6,0,10,22,82,12,48,2,0.28,0.418,0.698,-0.5
37,Jorge PolancoMIN,SS,48,180,21,41,0.228,8,0,5,26,64,26,48,2,0.322,0.356,0.678,1.3
37,Matt ChapmanTOR,3B,49,167,21,34,0.204,7,0,6,20,59,20,48,0,0.291,0.353,0.644,0.4
37,Sheldon NeuseOAK,3B,46,164,16,38,0.232,3,2,2,17,51,13,48,5,0.296,0.311,0.607,0.2
42,Giancarlo StantonNYY,DH,40,151,15,43,0.285,3,0,11,35,79,14,47,0,0.339,0.523,0.862,1.1
42,J.D. MartinezBOS,DH,44,164,31,59,0.36,17,0,5,23,91,17,47,0,0.422,0.555,0.976,1.6
42,Chad PinderOAK,LF,38,131,13,33,0.252,7,0,5,15,55,6,47,2,0.283,0.42,0.702,-0.1
45,Brett PhillipsTB,RF,35,98,11,19,0.194,4,0,4,10,35,7,46,6,0.252,0.357,0.609,1.3
45,Pete AlonsoNYM,DH,52,194,30,55,0.284,8,0,13,47,102,22,46,1,0.366,0.526,0.891,1.4
45,Joey BartSF,C,33,85,12,13,0.153,1,0,4,7,26,14,46,1,0.294,0.306,0.6,0
48,Gary SanchezMIN,C,40,144,14,33,0.229,13,0,6,25,64,9,45,1,0.289,0.444,0.734,0.5
48,Darin RufSF,LF,46,151,26,33,0.219,5,0,3,17,47,28,45,2,0.346,0.311,0.657,-0.7
48,Xander BogaertsBOS,SS,50,186,32,60,0.323,13,0,5,23,88,20,45,2,0.393,0.473,0.866,1.5
