Rank,Player,Strikeouts
1,Suarez • SEA,178
2,Schwarber • PHI,177
3,Wisdom • CHC,158
4,Swanson • ATL,157
5,García • TEX,156
6,Judge • NYY,150
7,Voit • 2TM,146
8,Cron • COL,145
9,Pham • 2TM,144
10,Chapman • TOR,142
