Rank,Player,Strikeouts
1,Suarez • SEA,146
2,Schwarber • PHI,142
3,Wisdom • CHC,139
4,García • TEX,125
5,Swanson • ATL,122
6,Olson • ATL,120
NA,Cron • COL,120
8,Walsh • LAA,119
9,Riley • ATL,118
NA,Judge • NYY,118
NA,Bichette • TOR,118
NA,Marsh • 2TM,118
