Rank,Player,Strikeouts
1,Wisdom • CHC,70
2,Suarez • SEA,69
3,Schwarber • PHI,66
4,Taylor • LAD,63
NA,Rodriguez • SEA,63
6,Duvall • ATL,62
NA,Riley • ATL,62
8,Story • BOS,61
9,Swanson • ATL,60
NA,Cron • COL,60
