Rank,Player,Strikeouts
1,Suarez • SEA,163
2,Wisdom • CHC,154
3,Schwarber • PHI,149
4,García • TEX,140
5,Swanson • ATL,136
6,Walsh • LAA,133
NA,Judge • NYY,133
8,Voit • 2TM,132
9,Olson • ATL,130
10,Cron • COL,128
