Rank,Player,Strikeouts
1,Suarez • SEA,173
2,Schwarber • PHI,165
3,Wisdom • CHC,158
4,García • TEX,150
5,Swanson • ATL,146
6,Judge • NYY,140
7,Walsh • LAA,138
NA,Voit • 2TM,138
9,Bichette • TOR,135
10,Cron • COL,134
