Rank,Player,Strikeouts
1,Suarez • SEA,128
2,Wisdom • CHC,126
3,Schwarber • PHI,123
4,García • TEX,109
5,Marsh • LAA,108
6,Swanson • ATL,106
NA,Cron • COL,106
8,Story • BOS,105
9,Riley • ATL,104
NA,Judge • NYY,104
