Rank,Player,Strikeouts
1,Suarez • SEA,183
2,Schwarber • PHI,182
3,Swanson • ATL,165
4,Wisdom • CHC,164
5,García • TEX,163
6,Judge • NYY,158
7,Chapman • TOR,154
8,Cron • COL,152
NA,Pham • 2TM,152
10,Riley • ATL,151
NA,Voit • 2TM,151
