Rank,Player,Strikeouts
1,Suarez • SEA,180
2,Schwarber • PHI,179
3,Swanson • ATL,159
NA,García • TEX,159
5,Wisdom • CHC,158
6,Judge • NYY,154
7,Voit • 2TM,148
8,Cron • COL,147
NA,Chapman • TOR,147
10,Riley • ATL,146
NA,Pham • 2TM,146
