Rank,Player,Strikeouts
1,Wisdom • CHC,61
2,Suarez • SEA,60
3,Schwarber • PHI,58
4,Reyes • CLE,57
5,Swanson • ATL,56
6,Duvall • ATL,55
NA,Taylor • LAD,55
NA,Rodriguez • SEA,55
9,Story • BOS,53
10,Riley • ATL,52
NA,Bellinger • LAD,52
