Rank,Player,Strikeouts
1,Schwarber • PHI,197
2,Suarez • SEA,189
3,Swanson • ATL,180
4,Wisdom • CHC,176
NA,García • TEX,176
6,Voit • 2TM,169
7,Judge • NYY,168
NA,Chapman • TOR,168
9,Olson • ATL,164
10,Pham • 2TM,163
