Rank,Player,Strikeouts
1,Suarez • SEA,108
2,Wisdom • CHC,102
3,Taylor • LAD,98
4,Schwarber • PHI,95
5,Duvall • ATL,93
NA,Story • BOS,93
7,Riley • ATL,90
NA,Rodriguez • SEA,90
9,Marsh • LAA,89
10,Swanson • ATL,87
