Rank,Player,Strikeouts
1,Suarez • SEA,174
2,Schwarber • PHI,169
3,Wisdom • CHC,158
4,García • TEX,155
5,Swanson • ATL,153
6,Judge • NYY,144
7,Voit • 2TM,141
8,Cron • COL,139
9,Walsh • LAA,138
10,Riley • ATL,136
NA,Pham • 2TM,136
