Rank,Player,Strikeouts
1,Suarez • SEA,177
2,Schwarber • PHI,174
3,Wisdom • CHC,158
4,Swanson • ATL,156
NA,García • TEX,156
6,Judge • NYY,147
7,Voit • 2TM,145
8,Cron • COL,143
NA,Pham • 2TM,143
10,Chapman • TOR,142
