Rank,Player,Strikeouts
1,Suarez • SEA,164
2,Schwarber • PHI,156
3,Wisdom • CHC,155
4,García • TEX,143
5,Swanson • ATL,138
6,Walsh • LAA,137
7,Judge • NYY,135
8,Voit • 2TM,133
9,Olson • ATL,130
10,Riley • ATL,129
NA,Cron • COL,129
