Rank,Player,Strikeouts
1,Reyes • CLE,48
2,Swanson • ATL,41
NA,Wisdom • CHC,41
NA,Suarez • SEA,41
5,Rodriguez • SEA,39
6,Duvall • ATL,38
NA,Taylor • LAD,38
8,Bellinger • LAD,37
9,Story • BOS,36
NA,Soler • MIA,36
NA,Adames • MIL,36
NA,Murphy • OAK,36
NA,Schwarber • PHI,36
NA,Chapman • TOR,36
