Rank,Player,Strikeouts
1,Reyes • CLE,51
2,Wisdom • CHC,50
3,Swanson • ATL,49
4,Suarez • SEA,47
5,Duvall • ATL,45
NA,Rodriguez • SEA,45
7,Bellinger • LAD,44
8,Schwarber • PHI,43
9,Grossman • DET,42
NA,Taylor • LAD,42
NA,Adames • MIL,42
NA,García • TEX,42
