Rank,Player,Strikeouts
1,Suarez • SEA,169
2,Wisdom • CHC,158
NA,Schwarber • PHI,158
4,García • TEX,147
5,Swanson • ATL,141
6,Walsh • LAA,138
7,Judge • NYY,135
NA,Voit • 2TM,135
9,Bichette • TOR,133
10,Cron • COL,131
NA,Hoskins • PHI,131
