RK,Name,POS,GP,AB,R,H,AVG,X2B,X3B,HR,RBI,TB,BB,K,SB,OBP,SLG,OPS,WAR
1,Franmil ReyesCLE,DH,21,87,7,16,0.184,0,0,2,8,22,3,40,0,0.22,0.253,0.473,-0.9
2,Dansby SwansonATL,SS,28,93,12,22,0.237,7,1,2,10,37,10,37,2,0.308,0.398,0.706,0.6
3,Adam DuvallATL,RF,27,97,9,18,0.186,6,0,1,13,27,7,36,0,0.243,0.278,0.521,-0.3
3,Julio RodriguezSEA,CF,26,95,11,22,0.232,4,0,1,9,29,8,36,9,0.298,0.305,0.603,0.3
5,Patrick WisdomCHC,3B,23,77,14,19,0.247,7,0,5,15,41,7,34,0,0.306,0.532,0.838,0.2
6,Eugenio SuarezSEA,3B,26,96,15,21,0.219,6,1,6,17,47,14,32,0,0.318,0.49,0.808,0.3
6,Jorge SolerMIA,RF,26,96,7,16,0.167,4,0,3,8,29,14,32,0,0.279,0.302,0.581,0
6,Sean MurphyOAK,C,25,95,12,19,0.2,7,1,4,15,40,6,32,0,0.26,0.421,0.681,0
9,Giancarlo StantonNYY,DH,24,94,7,25,0.266,1,0,5,16,41,5,31,0,0.297,0.436,0.733,0.4
9,Aaron JudgeNYY,RF,24,92,17,27,0.293,6,0,9,19,60,9,31,2,0.356,0.652,1.009,1.4
9,Austin RileyATL,3B,27,103,14,27,0.262,7,0,7,14,55,12,31,1,0.356,0.534,0.89,1.1
9,Rhys HoskinsPHI,1B,26,91,12,17,0.187,6,1,2,9,31,14,31,0,0.292,0.341,0.633,-0.2
9,Bo BichetteTOR,SS,27,114,14,29,0.254,5,0,3,12,43,4,31,3,0.28,0.377,0.657,0.1
14,Salvador PerezKC,C,23,90,9,15,0.167,4,0,5,9,34,3,30,0,0.211,0.378,0.588,0.2
14,Trevor StoryBOS,2B,22,85,8,18,0.212,7,0,0,10,25,8,30,1,0.292,0.294,0.586,-0.3
14,Joey GalloNYY,LF,22,64,6,12,0.188,1,0,3,4,22,9,30,0,0.288,0.344,0.631,0.1
14,Willy AdamesMIL,SS,27,102,21,24,0.235,5,0,8,22,53,16,30,1,0.345,0.52,0.864,1.2
14,Tyler O'NeillSTL,LF,25,93,13,19,0.204,4,1,2,19,31,10,30,3,0.271,0.333,0.604,0.2
14,Shohei OhtaniLAA,DH,27,107,19,25,0.234,4,0,4,14,41,10,30,4,0.299,0.383,0.682,0.2
14,Jesus SanchezMIA,RF,25,90,10,22,0.244,3,2,3,12,38,6,30,0,0.306,0.422,0.728,0.4
14,Jarred KelenicSEA,CF,25,72,8,10,0.139,2,1,3,10,23,8,30,3,0.222,0.319,0.542,0.2
22,Joey VottoCIN,1B,22,74,4,9,0.122,1,0,0,3,10,12,29,0,0.278,0.135,0.413,-0.9
22,Ryan McMahonCOL,2B,25,88,12,22,0.25,7,1,2,13,37,11,29,0,0.353,0.42,0.773,0.8
22,Kyle SchwarberPHI,DH,24,87,15,17,0.195,4,0,7,16,42,14,29,1,0.314,0.483,0.796,0.4
22,Cody BellingerLAD,CF,23,83,10,17,0.205,5,1,4,9,36,7,29,3,0.275,0.434,0.708,0.7
22,Trent GrishamSD,CF,27,90,6,15,0.167,2,2,1,6,24,15,29,0,0.292,0.267,0.559,-0.2
22,Randy ArozarenaTB,RF,26,103,12,24,0.233,10,1,0,7,36,4,29,4,0.269,0.35,0.618,-0.1
22,Brandon MarshLAA,CF,24,72,9,18,0.25,3,0,3,16,30,5,29,3,0.309,0.417,0.725,0.6
29,Avisail GarciaMIA,RF,24,86,5,15,0.174,3,0,1,4,21,2,28,2,0.211,0.244,0.455,-0.2
29,Bryce HarperPHI,RF,26,100,20,24,0.24,8,1,5,17,49,7,28,3,0.297,0.49,0.787,0.3
29,Robbie GrossmanDET,LF,22,74,8,20,0.27,4,0,0,7,24,12,28,1,0.378,0.324,0.702,0.3
29,Chris TaylorLAD,DH,21,72,8,21,0.292,6,1,1,11,32,9,28,2,0.361,0.444,0.806,0
29,Matt ChapmanTOR,3B,27,95,8,20,0.211,4,0,5,14,39,9,28,0,0.279,0.411,0.689,0.2
29,Joey BartSF,C,18,51,9,9,0.176,1,0,3,5,19,10,28,1,0.323,0.373,0.695,0
35,Christian YelichMIL,LF,26,94,18,24,0.255,6,0,4,17,42,13,27,3,0.345,0.447,0.792,0.6
35,Hunter RenfroeMIL,RF,25,95,13,22,0.232,5,0,5,10,42,4,27,0,0.26,0.442,0.702,0.2
35,Chad PinderOAK,3B,17,64,7,18,0.281,3,0,3,9,30,0,27,1,0.277,0.469,0.746,0.3
35,Jorge MateoBAL,SS,25,83,8,20,0.241,6,1,1,6,31,5,27,7,0.284,0.373,0.658,0.7
35,Brandon LoweTB,2B,26,95,15,19,0.2,4,0,3,9,32,10,27,1,0.287,0.337,0.624,-0.1
35,Josh LoweTB,CF,19,64,9,12,0.188,3,2,1,6,22,6,27,1,0.257,0.344,0.601,0.3
35,Daulton VarshoARI,CF,27,90,14,22,0.244,4,0,6,13,44,12,27,2,0.333,0.489,0.822,1
35,Seiya SuzukiCHC,RF,24,80,13,20,0.25,6,0,4,15,38,14,27,1,0.365,0.475,0.84,0.7
35,Spencer TorkelsonDET,1B,23,72,6,12,0.167,1,0,3,8,22,11,27,0,0.286,0.306,0.591,0
44,Josh DonaldsonNYY,3B,24,84,10,18,0.214,6,0,2,7,30,15,26,0,0.34,0.357,0.697,0.8
44,Eduardo EscobarNYM,3B,26,95,12,23,0.242,9,1,1,7,37,16,26,0,0.351,0.389,0.741,0.6
44,Darin RufSF,LF,26,96,7,18,0.188,2,0,0,6,20,13,26,2,0.291,0.208,0.499,-0.7
44,Carlos CorreaMIN,SS,24,94,12,24,0.255,5,0,2,11,35,8,26,0,0.32,0.372,0.693,0.6
44,Ryan MountcastleBAL,1B,24,96,9,24,0.25,2,0,4,12,38,3,26,1,0.28,0.396,0.676,0.1
44,Adolis GarciaTEX,RF,24,90,16,18,0.2,4,1,4,18,36,8,26,4,0.275,0.4,0.675,0.4
44,Pete AlonsoNYM,DH,28,108,16,29,0.269,5,0,5,21,49,6,26,0,0.325,0.454,0.779,0.3
