RK,Name,POS,GP,AB,R,H,AVG,X2B,X3B,HR,RBI,TB,BB,K,SB,OBP,SLG,OPS,WAR
1,Franmil ReyesCLE,DH,21,87,7,16,0.184,0,0,2,8,22,3,40,0,0.22,0.253,0.473,-1
2,Dansby SwansonATL,SS,27,90,11,21,0.233,7,1,1,9,33,10,36,2,0.307,0.367,0.674,0.5
2,Julio RodriguezSEA,CF,25,91,10,20,0.22,4,0,1,9,27,7,36,9,0.283,0.297,0.58,0.6
4,Adam DuvallATL,RF,26,94,9,18,0.191,6,0,1,13,27,7,34,0,0.25,0.287,0.537,-0.2
4,Patrick WisdomCHC,3B,23,77,14,19,0.247,7,0,5,15,41,7,34,0,0.306,0.532,0.838,0.4
6,Jorge SolerMIA,RF,25,96,7,16,0.167,4,0,3,8,29,13,32,0,0.273,0.302,0.575,0.1
7,Giancarlo StantonNYY,DH,24,94,7,25,0.266,1,0,5,16,41,5,31,0,0.297,0.436,0.733,0.5
7,Eugenio SuarezSEA,3B,25,93,12,19,0.204,6,1,4,14,39,12,31,0,0.295,0.419,0.715,0.3
7,Aaron JudgeNYY,RF,24,92,17,27,0.293,6,0,9,19,60,9,31,2,0.356,0.652,1.009,1.4
7,Rhys HoskinsPHI,1B,26,91,12,17,0.187,6,1,2,9,31,14,31,0,0.292,0.341,0.633,-0.2
7,Bo BichetteTOR,SS,27,114,14,29,0.254,5,0,3,12,43,4,31,3,0.28,0.377,0.657,0
12,Salvador PerezKC,C,23,90,9,15,0.167,4,0,5,9,34,3,30,0,0.211,0.378,0.588,0
12,Joey GalloNYY,LF,22,64,6,12,0.188,1,0,3,4,22,9,30,0,0.288,0.344,0.631,0.1
12,Sean MurphyOAK,C,24,92,12,19,0.207,7,1,4,15,40,5,30,0,0.26,0.435,0.695,0.2
12,Willy AdamesMIL,SS,26,98,21,23,0.235,5,0,8,21,52,15,30,1,0.342,0.531,0.873,0.9
12,Jesus SanchezMIA,RF,24,86,10,21,0.244,3,2,3,12,37,6,30,0,0.309,0.43,0.739,0.3
12,Jarred KelenicSEA,CF,24,71,7,9,0.127,2,1,2,8,19,8,30,3,0.213,0.268,0.48,0.2
18,Joey VottoCIN,1B,22,74,4,9,0.122,1,0,0,3,10,12,29,0,0.278,0.135,0.413,-0.9
18,Trevor StoryBOS,2B,21,81,8,17,0.21,7,0,0,9,24,8,29,1,0.293,0.296,0.59,-0.2
18,Kyle SchwarberPHI,DH,24,87,15,17,0.195,4,0,7,16,42,14,29,1,0.314,0.483,0.796,0.5
18,Cody BellingerLAD,CF,23,83,10,17,0.205,5,1,4,9,36,7,29,3,0.275,0.434,0.708,0.6
18,Trent GrishamSD,CF,26,88,5,14,0.159,2,1,1,6,21,13,29,0,0.275,0.239,0.513,0
18,Shohei OhtaniLAA,DH,26,104,19,25,0.24,4,0,4,13,41,9,29,4,0.301,0.394,0.695,0.2
24,Avisail GarciaMIA,RF,23,82,5,14,0.171,3,0,1,4,20,2,28,2,0.209,0.244,0.453,-0.1
24,Bryce HarperPHI,RF,26,100,20,24,0.24,8,1,5,17,49,7,28,3,0.297,0.49,0.787,0.2
24,Chris TaylorLAD,DH,21,72,8,21,0.292,6,1,1,11,32,9,28,2,0.361,0.444,0.806,0.1
24,Ryan McMahonCOL,2B,24,84,12,21,0.25,7,1,2,13,36,11,28,0,0.357,0.429,0.786,0.7
24,Matt ChapmanTOR,3B,27,95,8,20,0.211,4,0,5,14,39,9,28,0,0.279,0.411,0.689,0.3
24,Austin RileyATL,3B,26,100,14,27,0.27,7,0,7,14,55,11,28,1,0.36,0.55,0.91,1.1
24,Randy ArozarenaTB,RF,25,98,10,20,0.204,9,1,0,6,31,4,28,4,0.243,0.316,0.559,0
31,Jorge MateoBAL,SS,25,83,8,20,0.241,6,1,1,6,31,5,27,7,0.284,0.373,0.658,0.3
31,Tyler O'NeillSTL,LF,24,89,13,19,0.213,4,1,2,19,31,10,27,3,0.282,0.348,0.63,0
31,Brandon LoweTB,2B,25,93,14,18,0.194,4,0,3,9,31,8,27,1,0.262,0.333,0.595,-0.2
31,Josh LoweTB,CF,19,64,9,12,0.188,3,2,1,6,22,6,27,1,0.257,0.344,0.601,0.3
31,Brandon MarshLAA,CF,23,68,9,18,0.265,3,0,3,16,30,5,27,3,0.325,0.441,0.766,0.3
31,Daulton VarshoARI,CF,26,86,13,21,0.244,4,0,5,12,40,12,27,2,0.337,0.465,0.802,1
31,Seiya SuzukiCHC,RF,24,80,13,20,0.25,6,0,4,15,38,14,27,1,0.365,0.475,0.84,0.7
31,Spencer TorkelsonDET,1B,23,72,6,12,0.167,1,0,3,8,22,11,27,0,0.286,0.306,0.591,0
39,Josh DonaldsonNYY,3B,24,84,10,18,0.214,6,0,2,7,30,15,26,0,0.34,0.357,0.697,0.8
39,Eduardo EscobarNYM,3B,26,95,12,23,0.242,9,1,1,7,37,16,26,0,0.351,0.389,0.741,0.7
39,Christian YelichMIL,LF,25,89,18,22,0.247,6,0,4,16,40,13,26,3,0.343,0.449,0.792,0.5
39,Robbie GrossmanDET,LF,21,71,7,20,0.282,4,0,0,7,24,11,26,1,0.384,0.338,0.722,0.3
39,Carlos CorreaMIN,SS,24,94,12,24,0.255,5,0,2,11,35,8,26,0,0.32,0.372,0.693,0.6
39,Hunter RenfroeMIL,RF,24,90,12,20,0.222,4,0,5,10,39,4,26,0,0.253,0.433,0.686,0.3
39,Ryan MountcastleBAL,1B,24,96,9,24,0.25,2,0,4,12,38,3,26,1,0.28,0.396,0.676,-0.1
39,Adolis GarciaTEX,RF,24,90,16,18,0.2,4,1,4,18,36,8,26,4,0.275,0.4,0.675,0.5
39,Pete AlonsoNYM,DH,28,108,16,29,0.269,5,0,5,21,49,6,26,0,0.325,0.454,0.779,0.3
39,Joey BartSF,C,16,48,8,9,0.188,1,0,3,5,19,10,26,1,0.339,0.396,0.735,0.1
49,Nick CastellanosPHI,LF,26,91,12,28,0.308,6,0,4,15,46,9,25,1,0.379,0.505,0.884,0.5
49,Darin RufSF,LF,25,94,7,17,0.181,2,0,0,4,19,13,25,2,0.287,0.202,0.489,-0.6
