Rank,Player,Strikeouts
1,Suarez • SEA,101
2,Wisdom • CHC,95
3,Schwarber • PHI,92
4,Taylor • LAD,91
5,Duvall • ATL,89
6,Story • BOS,87
7,Riley • ATL,86
NA,Rodriguez • SEA,86
9,Marsh • LAA,84
10,Cron • COL,83
