Rank,Player,Strikeouts
1,Reyes • CLE,40
2,Swanson • ATL,36
NA,Rodriguez • SEA,36
4,Duvall • ATL,34
NA,Wisdom • CHC,34
6,Soler • MIA,32
7,Judge • NYY,31
NA,Stanton • NYY,31
NA,Hoskins • PHI,31
NA,Suarez • SEA,31
NA,Bichette • TOR,31
