Rank,Player,Strikeouts
1,Schwarber • PHI,192
2,Suarez • SEA,183
3,Swanson • ATL,173
4,García • TEX,171
5,Wisdom • CHC,170
6,Voit • 2TM,166
7,Judge • NYY,165
8,Chapman • TOR,163
9,Olson • ATL,161
NA,Pham • 2TM,161
