Rank,Player,Strikeouts
1,Suarez • SEA,182
2,Schwarber • PHI,181
3,Swanson • ATL,164
4,Wisdom • CHC,163
5,García • TEX,162
6,Judge • NYY,156
7,Cron • COL,151
NA,Chapman • TOR,151
9,Pham • 2TM,150
10,Riley • ATL,149
NA,Voit • 2TM,149
