RK,Name,POS,GP,AB,R,H,AVG,X2B,X3B,HR,RBI,TB,BB,K,SB,OBP,SLG,OPS,WAR
1,Eugenio SuarezSEA,3B,142,511,72,120,0.235,23,2,31,84,240,71,183,0,0.335,0.47,0.805,4.6
2,Kyle SchwarberPHI,LF,139,523,87,112,0.214,20,2,39,81,253,71,182,7,0.311,0.484,0.794,1.2
3,Dansby SwansonATL,SS,145,572,92,160,0.28,30,1,20,87,252,45,165,17,0.333,0.441,0.774,5
4,Patrick WisdomCHC,3B,122,428,60,90,0.21,25,0,22,59,181,51,164,7,0.303,0.423,0.726,0.8
5,Adolis GarciaTEX,RF,140,549,80,138,0.251,29,5,25,92,252,37,163,24,0.301,0.459,0.76,3.4
6,Aaron JudgeNYY,CF,141,520,119,162,0.312,24,0,57,123,357,91,158,16,0.415,0.687,1.102,9.2
7,Matt ChapmanTOR,3B,140,489,77,117,0.239,26,1,26,72,223,57,154,2,0.326,0.456,0.782,3.5
8,Tommy PhamBOS/CIN,LF,130,501,83,121,0.242,19,1,16,56,190,51,152,8,0.316,0.379,0.695,0.7
8,C.J. CronCOL,1B,138,532,75,140,0.263,27,3,28,97,257,40,152,0,0.321,0.483,0.804,2.5
10,Austin RileyATL,3B,143,557,83,155,0.278,37,2,36,90,304,49,151,2,0.349,0.546,0.895,5.7
10,Luke VoitSD/WSH,1B,118,434,52,102,0.235,20,0,21,64,185,53,151,1,0.325,0.426,0.751,1.4
12,Matt OlsonATL,1B,145,557,75,131,0.235,41,0,28,91,256,68,149,0,0.321,0.46,0.781,2.4
13,Chris TaylorLAD,LF,107,361,42,82,0.227,24,3,9,37,139,42,146,10,0.312,0.385,0.697,0.6
14,Joey GalloLAD/NYY,LF,114,321,43,52,0.162,8,2,17,41,115,50,145,3,0.281,0.358,0.639,0.3
15,Rhys HoskinsPHI,1B,140,524,75,131,0.25,27,2,28,71,246,66,144,2,0.339,0.469,0.808,3
15,Bo BichetteTOR,SS,144,591,84,167,0.283,41,1,24,88,282,36,144,11,0.325,0.477,0.802,3.3
15,Shohei OhtaniLAA,SP,140,519,82,138,0.266,26,6,34,89,278,70,144,11,0.356,0.536,0.891,3.5
18,Franmil ReyesCLE/CHC,DH,104,393,38,89,0.226,15,2,13,42,147,24,143,2,0.271,0.374,0.645,-0.9
18,Willy AdamesMIL,SS,123,493,77,117,0.237,27,0,30,92,234,46,143,6,0.301,0.475,0.776,4.1
18,Brandon MarshPHI/LAA,CF,120,377,43,91,0.241,13,4,10,49,142,24,143,10,0.29,0.377,0.667,1.2
21,Ryan McMahonCOL,3B,137,471,61,117,0.248,21,3,17,63,195,56,141,7,0.331,0.414,0.745,3
22,Christian YelichMIL,LF,137,515,92,135,0.262,23,4,12,53,202,76,140,16,0.361,0.392,0.753,2.7
22,Julio RodriguezSEA,CF,126,491,80,137,0.279,23,3,27,73,247,40,140,25,0.343,0.503,0.846,5.7
24,Teoscar HernandezTOR,RF,116,439,56,113,0.257,28,1,20,66,203,31,139,6,0.309,0.462,0.772,2.3
25,Cody BellingerLAD,CF,127,454,65,91,0.2,23,3,17,58,171,38,138,14,0.263,0.377,0.64,1.2
25,Jared WalshLAA,1B,118,423,41,91,0.215,18,2,15,44,158,27,138,2,0.269,0.374,0.642,-0.7
27,Ian HappCHC,LF,141,512,67,141,0.275,38,2,17,67,234,53,135,8,0.348,0.457,0.805,4.4
27,Randy ArozarenaTB,LF,139,533,66,142,0.266,37,2,19,79,240,41,135,30,0.331,0.45,0.781,3
29,Ryan MountcastleBAL,1B,129,497,57,121,0.243,26,0,22,79,213,35,133,4,0.295,0.429,0.724,1.3
29,Trent GrishamSD,CF,139,424,55,80,0.189,15,2,17,52,150,57,133,6,0.294,0.354,0.648,2.2
31,Javier BaezDET,SS,129,493,54,118,0.239,26,4,13,57,191,25,132,9,0.281,0.387,0.669,2.4
31,Jorge MateoBAL,SS,132,439,56,98,0.223,21,7,13,47,172,24,132,30,0.27,0.392,0.662,3.1
33,J.D. MartinezBOS,DH,124,478,64,129,0.27,38,0,11,53,200,49,130,0,0.341,0.418,0.759,0.6
34,Josh DonaldsonNYY,3B,118,424,52,94,0.222,26,0,15,56,165,49,128,2,0.309,0.389,0.698,2.6
34,Paul GoldschmidtSTL,1B,139,521,103,168,0.322,39,0,35,112,312,76,128,6,0.411,0.599,1.009,7.7
34,Max MuncyLAD,3B,120,415,66,83,0.2,19,1,20,62,164,78,128,2,0.325,0.395,0.721,2.4
34,Seth BrownOAK,1B,134,446,48,104,0.233,25,2,23,62,202,41,128,8,0.301,0.453,0.754,1.6
34,Nathaniel LoweTEX,1B,140,532,67,165,0.31,24,3,25,71,270,42,128,2,0.365,0.508,0.873,3.3
39,Kole CalhounTEX,RF,114,368,36,75,0.204,14,1,12,47,127,25,127,2,0.264,0.345,0.609,-1.3
40,Jeremy PenaHOU,SS,121,466,61,116,0.249,18,1,18,49,190,19,126,10,0.284,0.408,0.692,4.1
41,Bryan ReynoldsPIT,CF,130,486,63,125,0.257,15,4,23,54,217,50,125,6,0.335,0.447,0.782,2.3
42,Mike TroutLAA,CF,104,381,74,106,0.278,20,2,36,71,238,46,124,1,0.365,0.625,0.99,5.4
42,Nick CastellanosPHI,RF,128,499,53,132,0.265,27,0,13,61,198,27,124,7,0.305,0.397,0.702,-0.3
42,Mike YastrzemskiSF,CF,132,427,61,88,0.206,27,2,12,45,155,56,124,5,0.303,0.363,0.666,1.3
42,Trey ManciniBAL/HOU,DH,129,474,55,120,0.253,21,1,18,62,197,50,124,0,0.335,0.416,0.75,2.1
42,Daulton VarshoARI,RF,134,473,70,115,0.243,22,3,25,69,218,43,124,10,0.31,0.461,0.771,4.6
47,Francisco LindorNYM,SS,146,567,88,151,0.266,21,4,24,94,252,58,122,16,0.342,0.444,0.786,5.1
47,Trevor StoryBOS,2B,94,357,53,85,0.238,22,0,16,66,155,32,122,13,0.303,0.434,0.737,2.5
47,Christopher MorelCHC,CF,98,341,50,81,0.238,16,4,13,38,144,32,122,10,0.307,0.422,0.729,0.9
50,Michael ChavisPIT,1B,124,386,39,92,0.238,16,3,14,49,156,18,121,1,0.273,0.404,0.677,0.2
