Rank,Player,Strikeouts
1,Suarez • SEA,180
2,Schwarber • PHI,179
3,Swanson • ATL,161
NA,García • TEX,161
5,Wisdom • CHC,159
6,Judge • NYY,154
7,Voit • 2TM,148
8,Cron • COL,147
NA,Chapman • TOR,147
10,Riley • ATL,146
NA,Pham • 2TM,146
