RK,Name,POS,GP,AB,R,H,AVG,X2B,X3B,HR,RBI,TB,BB,K,SB,OBP,SLG,OPS,WAR
1,Kyle SchwarberPHI,LF,145,545,90,115,0.211,20,2,40,85,259,76,191,8,0.31,0.475,0.785,1.1
2,Eugenio SuarezSEA,3B,142,511,72,120,0.235,23,2,31,84,240,71,183,0,0.335,0.47,0.805,4.5
3,Dansby SwansonATL,SS,152,599,93,167,0.279,31,1,21,89,263,47,171,18,0.332,0.439,0.771,5
4,Patrick WisdomCHC,3B,126,439,63,92,0.21,25,0,24,62,189,52,169,7,0.302,0.431,0.733,0.8
4,Adolis GarciaTEX,RF,145,566,83,143,0.253,31,5,25,95,259,39,169,25,0.304,0.458,0.762,3.5
6,Aaron JudgeNYY,CF,147,542,125,170,0.314,27,0,60,128,377,98,165,16,0.42,0.696,1.116,9.9
7,Luke VoitSD/WSH,1B,124,458,52,106,0.231,20,0,21,64,189,54,164,1,0.319,0.413,0.731,1.2
8,Matt ChapmanTOR,3B,146,509,80,120,0.236,27,1,27,75,230,62,162,2,0.326,0.452,0.778,3.6
9,Tommy PhamBOS/CIN,LF,136,527,87,129,0.245,22,1,17,60,204,52,160,8,0.317,0.387,0.704,0.9
10,Matt OlsonATL,1B,152,579,77,135,0.233,42,0,28,91,261,70,158,0,0.319,0.451,0.769,2.2
11,Chris TaylorLAD,LF,114,385,43,84,0.218,24,3,10,40,144,44,157,10,0.304,0.374,0.678,0.6
12,Austin RileyATL,3B,150,583,85,163,0.28,38,2,37,92,316,51,156,2,0.351,0.542,0.893,6
13,C.J. CronCOL,1B,142,547,77,146,0.267,28,3,29,101,267,41,155,0,0.325,0.488,0.813,2.7
13,Rhys HoskinsPHI,1B,146,549,78,137,0.25,31,2,29,76,259,68,155,2,0.337,0.472,0.809,3
15,Joey GalloLAD/NYY,LF,117,329,45,54,0.164,8,2,18,43,120,53,151,3,0.286,0.365,0.65,0.4
15,Franmil ReyesCLE/CHC,DH,110,410,38,91,0.222,15,2,13,43,149,27,151,2,0.27,0.363,0.633,-1.1
17,Willy AdamesMIL,SS,130,522,83,127,0.243,31,0,31,96,251,49,150,8,0.307,0.481,0.788,4.8
18,Christian YelichMIL,LF,144,541,95,139,0.257,25,4,12,53,208,82,149,17,0.359,0.384,0.743,2.7
18,Shohei OhtaniLAA,SP,147,544,85,147,0.27,28,6,34,92,289,71,149,11,0.357,0.531,0.888,3.6
20,Ryan McMahonCOL,3B,144,496,63,122,0.246,22,3,18,64,204,59,148,7,0.33,0.411,0.742,2.9
20,Bo BichetteTOR,SS,150,616,87,175,0.284,42,1,24,91,291,40,148,12,0.329,0.472,0.801,3.3
20,Brandon MarshPHI/LAA,CF,124,388,45,93,0.24,13,4,10,50,144,25,148,10,0.289,0.371,0.66,1.3
23,Teoscar HernandezTOR,RF,122,463,63,120,0.259,32,1,21,68,217,33,144,6,0.311,0.469,0.78,2.2
24,Julio RodriguezSEA,CF,129,500,81,140,0.28,24,3,27,73,251,40,143,25,0.342,0.502,0.844,5.7
25,Ian HappCHC,LF,148,539,68,145,0.269,40,2,17,69,240,54,142,8,0.34,0.445,0.785,4.1
26,Cody BellingerLAD,CF,134,471,68,96,0.204,26,3,17,59,179,38,141,14,0.264,0.38,0.644,1.2
26,Randy ArozarenaTB,LF,144,554,69,151,0.273,40,2,20,87,255,42,141,32,0.336,0.46,0.796,3.2
28,Javier BaezDET,SS,135,518,60,126,0.243,27,4,15,61,206,25,139,9,0.283,0.398,0.681,2.4
28,Trent GrishamSD,CF,143,433,55,80,0.185,15,2,17,53,150,57,139,6,0.289,0.346,0.635,2.1
30,Ryan MountcastleBAL,1B,135,518,59,129,0.249,26,0,22,82,221,38,138,4,0.302,0.427,0.728,1.3
30,Jared WalshLAA,1B,118,423,41,91,0.215,18,2,15,44,158,27,138,2,0.269,0.374,0.642,-0.6
32,J.D. MartinezBOS,DH,129,497,67,134,0.27,40,1,12,55,212,50,137,0,0.339,0.427,0.766,0.7
32,Jorge MateoBAL,SS,139,459,58,101,0.22,22,7,13,49,176,24,137,33,0.265,0.383,0.649,3.1
32,Nathaniel LoweTEX,1B,146,555,69,169,0.305,25,3,25,72,275,44,137,2,0.36,0.495,0.855,3.1
35,Josh DonaldsonNYY,3B,124,448,56,102,0.228,27,0,15,59,174,52,135,2,0.314,0.388,0.703,2.8
35,Seth BrownOAK,1B,140,464,52,108,0.233,26,2,24,65,210,45,135,9,0.304,0.453,0.757,1.9
37,Daulton VarshoARI,RF,142,498,75,120,0.241,22,3,26,71,226,44,134,12,0.307,0.454,0.761,4.9
38,Paul GoldschmidtSTL,1B,144,539,103,172,0.319,40,0,35,112,317,77,133,6,0.407,0.588,0.995,7.7
38,Max MuncyLAD,3B,126,437,68,89,0.204,21,1,21,67,175,81,133,2,0.327,0.4,0.727,2.9
38,Bryan ReynoldsPIT,CF,136,508,68,135,0.266,17,4,25,59,235,53,133,7,0.346,0.463,0.808,3
41,Mike TroutLAA,CF,110,403,76,110,0.273,22,2,36,76,244,49,130,1,0.359,0.605,0.965,5.3
41,Mike YastrzemskiSF,CF,138,450,67,96,0.213,29,2,15,50,174,56,130,5,0.305,0.387,0.692,1.6
