Rank,Player,Strikeouts
1,Wisdom • CHC,58
NA,Suarez • SEA,58
3,Reyes • CLE,56
4,Swanson • ATL,55
NA,Schwarber • PHI,55
6,Rodriguez • SEA,53
7,Bellinger • LAD,52
NA,Taylor • LAD,52
9,Duvall • ATL,51
10,García • TEX,48
