Rank,Player,Strikeouts
1,Suarez • SEA,147
2,Schwarber • PHI,142
3,Wisdom • CHC,141
4,García • TEX,125
5,Swanson • ATL,122
6,Olson • ATL,120
NA,Cron • COL,120
NA,Walsh • LAA,120
9,Judge • NYY,119
10,Riley • ATL,118
NA,Bichette • TOR,118
NA,Marsh • 2TM,118
