Rank,Player,Strikeouts
1,Reyes • CLE,47
2,Swanson • ATL,40
3,Suarez • SEA,39
4,Duvall • ATL,38
NA,Wisdom • CHC,38
NA,Taylor • LAD,38
7,Rodriguez • SEA,37
8,Story • BOS,35
NA,McMahon • COL,35
NA,Bellinger • LAD,35
NA,Soler • MIA,35
NA,Adames • MIL,35
NA,Stanton • NYY,35
