Rank,Player,Strikeouts
1,Reyes • CLE,38
2,Swanson • ATL,31
3,Wisdom • CHC,30
NA,Rodriguez • SEA,30
5,Duvall • ATL,29
NA,Votto • CIN,29
NA,Gallo • NYY,29
NA,Kelenic • SEA,29
9,Bellinger • LAD,28
NA,Adames • MIL,28
NA,Stanton • NYY,28
NA,Murphy • OAK,28
