Player,Team,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
1JulioJ RodríguezRodriguezCF1‌‌‌,SEA,13,48,5,8,2,0,0,4,4,23,4,0,0.167,0.231,0.208,0.439
2DansbyD SwansonSwansonSS2‌‌‌,ATL,15,51,4,8,4,0,0,2,5,22,0,0,0.157,0.232,0.235,0.467
3JoJo AdellAdellLF3‌‌‌,LAA,13,46,3,11,3,0,2,4,1,21,1,0,0.239,0.255,0.435,0.69
3AristidesA AquinoAquinoRF3‌‌‌,CIN,12,38,3,2,0,0,1,2,2,21,0,0,0.053,0.1,0.132,0.232
3GiancarloG StantonStantonDH3‌‌‌,NYY,14,55,3,12,1,0,2,8,1,21,0,0,0.218,0.228,0.345,0.573
3JoeyJ VottoVotto1B3‌‌‌,CIN,14,48,3,8,1,0,0,2,5,21,0,0,0.167,0.286,0.188,0.474
7ShoheiS OhtaniOhtaniDH7‌‌‌,LAA,14,59,10,13,3,0,3,9,4,20,2,1,0.22,0.27,0.424,0.694
7FranmilF ReyesReyesDH7‌‌‌,CLE,12,51,4,10,0,0,2,5,2,20,0,0,0.196,0.226,0.314,0.54
9JoeyJ BartBartC9‌‌‌,SF,10,32,5,6,1,0,2,4,6,19,1,0,0.188,0.316,0.406,0.722
9AdamA DuvallDuvallCF9‌‌‌,ATL,14,50,5,10,4,0,0,7,4,19,0,0,0.2,0.273,0.28,0.553
9SeanS MurphyMurphyC9‌‌‌,OAK,15,58,9,15,7,1,3,11,2,19,0,0,0.259,0.302,0.569,0.871
12WillyW AdamesAdamesSS12‌‌‌,MIL,14,51,8,9,2,0,1,3,8,18,0,1,0.176,0.288,0.275,0.563
12JoshJ DonaldsonDonaldson3B12‌‌‌,NYY,14,49,5,9,3,0,1,3,7,18,0,0,0.184,0.286,0.306,0.592
12JoeyJ GalloGalloLF12‌‌‌,NYY,14,41,0,5,0,0,0,0,6,18,0,0,0.122,0.234,0.122,0.356
12TrentT GrishamGrishamCF12‌‌‌,SD,15,49,2,7,2,0,1,2,7,18,0,0,0.143,0.25,0.245,0.495
12JoshJ LoweLoweLF12‌‌‌,TB,13,43,6,8,1,2,0,3,5,18,1,0,0.186,0.271,0.302,0.573
12PatrickP WisdomWisdom3B12‌‌‌,CHC,13,40,7,10,5,0,2,10,4,18,0,1,0.25,0.311,0.525,0.836
18CarlosC CorreaCorreaSS18‌‌‌,MIN,13,50,5,10,2,0,1,3,5,17,0,0,0.2,0.273,0.3,0.573
18JarredJ KelenicKelenicRF18‌‌‌,SEA,13,43,4,7,1,1,2,6,4,17,2,1,0.163,0.229,0.372,0.601
18KetelK MarteMarte2B18‌‌‌,ARI,14,54,3,10,5,0,0,4,4,17,1,0,0.185,0.262,0.278,0.54
18RyanR MountcastleMountcastle1B18‌‌‌,BAL,14,55,5,13,1,0,1,3,2,17,0,0,0.236,0.276,0.309,0.585
18HunterH RenfroeRenfroeRF18‌‌‌,MIL,13,46,3,10,3,0,1,4,4,17,0,0,0.217,0.275,0.348,0.623
18DarinD RufRufDH18‌‌‌,SF,14,51,5,9,2,0,0,2,8,17,0,0,0.176,0.3,0.216,0.516
18KyleK SchwarberSchwarberLF18‌‌‌,PHI,13,51,9,8,1,0,4,9,5,17,0,0,0.157,0.246,0.412,0.658
18LukeL VoitVoitDH18‌‌‌,SD,13,42,5,6,1,0,0,5,10,17,1,0,0.143,0.315,0.167,0.482
