Player,Team,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
1JulioJ RodríguezRodriguezCF1‌‌‌,SEA,14,52,7,10,3,0,0,5,5,24,5,0,0.192,0.263,0.25,0.513
2DansbyD SwansonSwansonSS2‌‌‌,ATL,16,55,5,10,4,1,0,4,5,23,1,0,0.182,0.25,0.291,0.541
3ShoheiS OhtaniOhtaniDH3‌‌‌,LAA,15,63,10,13,3,0,3,9,5,22,3,1,0.206,0.265,0.397,0.662
3GiancarloG StantonStantonDH3‌‌‌,NYY,15,59,3,12,1,0,2,8,1,22,0,0,0.203,0.213,0.322,0.535
3JoeyJ VottoVotto1B3‌‌‌,CIN,15,52,3,8,1,0,0,2,5,22,0,0,0.154,0.267,0.173,0.44
6JoJo AdellAdellLF6‌‌‌,LAA,13,46,3,11,3,0,2,4,1,21,1,0,0.239,0.255,0.435,0.69
6AristidesA AquinoAquinoRF6‌‌‌,CIN,12,38,3,2,0,0,1,2,2,21,0,0,0.053,0.1,0.132,0.232
6JoshJ LoweLoweLF6‌‌‌,TB,14,47,6,8,1,2,0,3,5,21,1,0,0.17,0.25,0.277,0.527
6SeanS MurphyMurphyC6‌‌‌,OAK,16,62,9,15,7,1,3,11,2,21,0,0,0.242,0.284,0.532,0.816
6FranmilF ReyesReyesDH6‌‌‌,CLE,13,55,4,10,0,0,2,5,2,21,0,0,0.182,0.211,0.291,0.502
11AdamA DuvallDuvallCF11‌‌‌,ATL,15,54,5,10,4,0,0,7,4,20,0,0,0.185,0.254,0.259,0.513
11JarredJ KelenicKelenicRF11‌‌‌,SEA,14,48,5,8,1,1,2,7,4,20,3,1,0.167,0.226,0.354,0.58
13WillyW AdamesAdamesSS13‌‌‌,MIL,15,55,9,11,2,0,1,4,8,19,1,1,0.2,0.302,0.291,0.593
13JoeyJ BartBartC13‌‌‌,SF,10,32,5,6,1,0,2,4,6,19,1,0,0.188,0.316,0.406,0.722
13JoeyJ GalloGalloLF13‌‌‌,NYY,15,44,1,6,0,0,0,0,7,19,0,0,0.136,0.255,0.136,0.391
13RyanR MountcastleMountcastle1B13‌‌‌,BAL,15,60,5,15,1,0,1,6,2,19,1,0,0.25,0.286,0.317,0.603
13PatrickP WisdomWisdom3B13‌‌‌,CHC,14,44,9,11,5,0,2,11,6,19,0,1,0.25,0.333,0.5,0.833
18CodyC BellingerBellingerCF18‌‌‌,LAD,14,51,5,13,3,1,2,4,5,18,3,1,0.255,0.321,0.471,0.792
18CarlosC CorreaCorreaSS18‌‌‌,MIN,14,52,6,10,2,0,1,3,7,18,0,0,0.192,0.288,0.288,0.576
18C.J.C CronCron1B18‌‌‌,COL,14,56,10,16,3,1,6,16,2,18,0,0,0.286,0.317,0.696,1.013
18JoshJ DonaldsonDonaldson3B18‌‌‌,NYY,15,51,6,10,3,0,2,4,9,18,0,1,0.196,0.317,0.373,0.69
18TrentT GrishamGrishamCF18‌‌‌,SD,16,49,2,7,2,0,1,2,7,18,0,0,0.143,0.25,0.245,0.495
18KetelK MarteMarte2B18‌‌‌,ARI,15,59,3,10,5,0,0,5,4,18,1,0,0.169,0.242,0.254,0.496
18KyleK SchwarberSchwarberLF18‌‌‌,PHI,14,55,9,9,1,0,4,9,5,18,0,0,0.164,0.246,0.4,0.646
25PeteP AlonsoAlonso1B25‌‌‌,NYM,16,62,9,16,3,0,3,16,2,17,0,0,0.258,0.304,0.452,0.756
