Rank,Player,Strikeouts
1,Suarez • SEA,107
2,Wisdom • CHC,100
3,Taylor • LAD,95
NA,Schwarber • PHI,95
5,Duvall • ATL,93
6,Story • BOS,91
7,Rodriguez • SEA,90
8,Riley • ATL,88
NA,Marsh • LAA,88
10,Swanson • ATL,87
