Rank,Player,Strikeouts
1,Suarez • SEA,76
2,Wisdom • CHC,75
3,Schwarber • PHI,70
4,Story • BOS,69
5,Riley • ATL,68
NA,Taylor • LAD,68
NA,Rodriguez • SEA,68
8,Duvall • ATL,65
9,Hoskins • PHI,64
NA,García • TEX,64
