RK,Name,POS,GP,AB,R,H,AVG,X2B,X3B,HR,RBI,TB,BB,K,SB,OBP,SLG,OPS,WAR
1,Eugenio SuarezSEA,3B,79,293,36,69,0.235,17,1,13,38,127,38,109,0,0.329,0.433,0.763,2
2,Patrick WisdomCHC,3B,74,266,42,62,0.233,15,0,16,44,125,30,104,4,0.319,0.47,0.789,0.9
3,Chris TaylorLAD,LF,73,251,31,60,0.239,19,3,6,27,103,28,100,6,0.318,0.41,0.728,0.5
4,Kyle SchwarberPHI,LF,77,285,54,62,0.218,12,0,23,51,143,49,99,4,0.335,0.502,0.837,1.5
5,Trevor StoryBOS,2B,71,270,43,60,0.222,15,0,12,52,111,28,95,10,0.298,0.411,0.709,1.8
6,Adam DuvallATL,CF,77,263,36,54,0.205,13,1,10,32,99,21,93,0,0.272,0.376,0.649,-0.4
7,Julio RodriguezSEA,CF,79,297,44,81,0.273,15,2,13,39,139,23,91,20,0.334,0.468,0.802,3
8,Austin RileyATL,3B,77,300,44,79,0.263,17,1,20,48,158,26,90,2,0.334,0.527,0.861,2.3
9,Brandon MarshLAA,LF,72,234,27,54,0.231,8,1,6,31,82,16,89,4,0.282,0.35,0.633,0.7
10,Dansby SwansonATL,SS,79,298,50,91,0.305,16,1,14,46,151,25,88,12,0.364,0.507,0.871,3.4
10,Jared WalshLAA,1B,76,280,33,71,0.254,12,2,13,40,126,14,88,1,0.296,0.45,0.746,0.7
12,C.J. CronCOL,1B,78,305,46,90,0.295,17,2,17,58,162,21,87,0,0.347,0.531,0.878,2.3
12,Joey GalloNYY,RF,65,191,25,32,0.168,4,0,9,18,63,30,87,1,0.281,0.33,0.61,0.1
12,Bo BichetteTOR,SS,78,331,44,85,0.257,19,0,12,43,140,20,87,5,0.299,0.423,0.722,0.9
15,Mike TroutLAA,CF,71,253,53,70,0.277,17,2,23,47,160,37,86,0,0.378,0.632,1.01,3.9
15,Cody BellingerLAD,CF,71,265,35,55,0.208,13,2,11,31,105,21,86,9,0.266,0.396,0.663,1.3
17,Aaron JudgeNYY,CF,77,294,64,83,0.282,12,0,29,59,182,38,85,6,0.36,0.619,0.979,3.6
18,Jorge MateoBAL,SS,72,240,26,47,0.196,10,2,6,20,79,14,84,19,0.248,0.329,0.577,1.5
18,Luke VoitSD,DH,60,220,29,51,0.232,14,0,10,34,95,28,84,1,0.319,0.432,0.751,0.7
20,Jorge SolerMIA,LF,67,254,31,55,0.217,13,0,13,34,107,30,82,0,0.306,0.421,0.727,0.6
20,Rhys HoskinsPHI,1B,78,288,42,73,0.253,15,2,16,41,140,41,82,0,0.348,0.486,0.834,2
20,Adolis GarciaTEX,RF,74,293,47,75,0.256,16,3,15,50,142,16,82,11,0.296,0.485,0.781,2.6
23,Christian YelichMIL,LF,77,293,53,75,0.256,11,3,8,30,116,40,81,12,0.349,0.396,0.745,1.6
24,Ryan McMahonCOL,3B,76,267,32,64,0.24,13,2,7,38,102,35,80,1,0.333,0.382,0.715,1.4
25,Shohei OhtaniLAA,SP,77,290,47,76,0.262,15,1,18,50,147,35,79,8,0.345,0.507,0.852,1.6
26,Randy ArozarenaTB,LF,75,291,35,75,0.258,17,2,7,34,117,16,78,18,0.309,0.402,0.711,0.5
27,Nick CastellanosPHI,RF,78,303,31,75,0.248,17,0,8,41,116,21,77,4,0.299,0.383,0.682,-0.8
27,Matt OlsonATL,1B,79,302,33,75,0.248,31,0,12,43,142,44,77,0,0.344,0.47,0.814,1.4
27,Franmil ReyesCLE,DH,45,170,13,35,0.206,5,0,5,17,55,12,77,0,0.261,0.324,0.584,-0.8
27,Trent GrishamSD,CF,77,253,30,48,0.19,10,2,7,30,83,32,77,2,0.286,0.328,0.614,1.1
27,Bobby Witt Jr.KC,SS,74,284,41,67,0.236,16,5,11,39,126,17,77,12,0.283,0.444,0.727,0.9
32,Andrew VelazquezLAA,SS,72,209,22,35,0.167,6,0,5,20,56,9,75,10,0.211,0.268,0.479,0.8
33,Eduardo EscobarNYM,3B,71,268,32,61,0.228,16,3,8,34,107,24,74,0,0.286,0.399,0.685,0
34,Ryan MountcastleBAL,1B,67,265,34,74,0.279,17,0,13,39,130,15,73,3,0.318,0.491,0.809,1.5
35,Robbie GrossmanDET,LF,60,203,19,43,0.212,9,0,2,18,58,28,72,2,0.315,0.286,0.601,-0.2
35,Bryan ReynoldsPIT,CF,75,280,37,72,0.257,8,3,15,32,131,31,72,3,0.333,0.468,0.801,1.5
37,Giancarlo StantonNYY,DH,65,234,31,58,0.248,5,0,20,53,123,30,71,0,0.33,0.526,0.855,1.4
37,Avisail GarciaMIA,RF,64,242,23,55,0.227,7,0,6,25,80,8,71,3,0.262,0.331,0.592,-0.6
37,J.D. MartinezBOS,DH,68,267,44,82,0.307,24,0,8,33,130,28,71,0,0.377,0.487,0.864,1.3
37,Marcell OzunaATL,DH,75,291,36,65,0.223,9,0,14,32,116,21,71,2,0.278,0.399,0.676,-0.7
37,Byron BuxtonMIN,CF,61,225,45,51,0.227,10,2,21,38,128,20,71,1,0.303,0.569,0.872,2.6
37,Matt ChapmanTOR,3B,74,258,40,56,0.217,14,0,11,36,103,26,71,0,0.294,0.399,0.693,1.2
37,Jesus SanchezMIA,CF,65,225,30,48,0.213,8,3,10,27,92,14,71,1,0.264,0.409,0.673,0.1
44,Gary SanchezMIN,C,63,230,26,51,0.222,18,0,9,34,96,15,70,1,0.279,0.417,0.696,0.4
44,Tommy PhamCIN,LF,68,249,46,64,0.257,9,0,11,34,106,36,70,6,0.349,0.426,0.775,1.3
44,Brett PhillipsTB,RF,57,152,16,23,0.151,4,0,4,10,39,12,70,6,0.222,0.257,0.478,0.7
44,Nathaniel LoweTEX,1B,71,266,31,73,0.274,10,1,11,33,118,19,70,1,0.323,0.444,0.766,0.8
