Rank,Player,Strikeouts
1,Suarez • SEA,88
2,Wisdom • CHC,85
3,Schwarber • PHI,84
4,Story • BOS,81
5,Rodriguez • SEA,80
6,Riley • ATL,79
7,Taylor • LAD,78
8,Duvall • ATL,76
9,Cron • COL,75
10,Marsh • LAA,74
