Rank,Player,Strikeouts
1,Suarez • SEA,173
2,Schwarber • PHI,167
3,Wisdom • CHC,158
4,García • TEX,152
5,Swanson • ATL,147
6,Judge • NYY,142
7,Voit • 2TM,139
8,Walsh • LAA,138
9,Cron • COL,135
NA,Bichette • TOR,135
