Rank,Player,Strikeouts
1,Suarez • SEA,154
2,Wisdom • CHC,146
3,Schwarber • PHI,144
4,Swanson • ATL,131
5,García • TEX,130
6,Voit • 2TM,126
NA,Marsh • 2TM,126
8,Cron • COL,125
NA,Walsh • LAA,125
NA,Judge • NYY,125
