Rank,Player,Strikeouts
1,Schwarber • PHI,192
2,Suarez • SEA,183
3,Swanson • ATL,176
4,García • TEX,171
5,Wisdom • CHC,170
6,Judge • NYY,167
NA,Voit • 2TM,167
8,Chapman • TOR,164
9,Olson • ATL,162
10,Pham • 2TM,161
