Rank,Player,Strikeouts
1,Schwarber • PHI,183
NA,Suarez • SEA,183
3,Swanson • ATL,166
NA,García • TEX,166
5,Wisdom • CHC,164
6,Judge • NYY,159
7,Chapman • TOR,158
8,Voit • 2TM,157
9,Olson • ATL,155
NA,Cron • COL,155
