Rank,Player,Strikeouts
1,Wisdom • CHC,119
NA,Suarez • SEA,119
3,Schwarber • PHI,112
4,Story • BOS,105
5,Taylor • LAD,101
6,Riley • ATL,100
NA,Swanson • ATL,100
8,Marsh • LAA,99
9,Duvall • ATL,98
NA,Walsh • LAA,98
NA,García • TEX,98
