Rank,Player,Strikeouts
1,Suarez • SEA,62
2,Wisdom • CHC,61
3,Schwarber • PHI,60
4,Reyes • CLE,57
NA,Taylor • LAD,57
6,Duvall • ATL,56
NA,Swanson • ATL,56
NA,Rodriguez • SEA,56
9,Riley • ATL,54
10,Story • BOS,53
