RK,Name,POS,GP,AB,R,H,AVG,X2B,X3B,HR,RBI,TB,BB,K,SB,OBP,SLG,OPS,WAR
1,Eugenio SuarezSEA,3B,93,342,44,82,0.24,19,1,16,51,151,47,126,0,0.338,0.442,0.779,2.5
2,Patrick WisdomCHC,3B,89,317,48,70,0.221,19,0,17,47,140,40,124,6,0.317,0.442,0.758,1.2
3,Kyle SchwarberPHI,LF,91,340,63,71,0.209,12,0,30,59,173,52,120,4,0.316,0.509,0.825,1.4
4,Adolis GarciaTEX,RF,88,351,50,84,0.239,16,4,16,55,156,21,107,13,0.283,0.444,0.728,2.1
4,Brandon MarshLAA,LF,84,269,31,60,0.223,8,1,8,35,94,18,107,7,0.276,0.349,0.626,0.7
6,Dansby SwansonATL,SS,95,363,61,106,0.292,20,1,15,53,173,31,106,14,0.352,0.477,0.828,4.1
7,Trevor StoryBOS,2B,81,307,49,68,0.221,17,0,15,58,130,28,105,10,0.289,0.423,0.713,2.1
7,C.J. CronCOL,1B,91,352,55,104,0.295,21,2,21,69,192,24,105,0,0.347,0.545,0.893,3
9,Aaron JudgeNYY,CF,92,348,78,99,0.284,14,0,36,77,221,46,104,8,0.368,0.635,1.003,4.5
9,Austin RileyATL,3B,93,366,56,105,0.287,23,1,27,61,211,29,104,2,0.349,0.577,0.926,3.7
11,Jared WalshLAA,1B,87,317,33,75,0.237,13,2,13,41,131,16,102,1,0.28,0.413,0.693,0.2
11,Julio RodriguezSEA,CF,91,346,53,95,0.275,18,2,16,52,165,26,102,21,0.337,0.477,0.814,3.6
13,Adam DuvallATL,CF,85,286,39,61,0.213,16,1,12,36,115,21,101,0,0.277,0.402,0.679,-0.1
13,Chris TaylorLAD,LF,74,252,32,60,0.238,19,3,6,27,103,29,101,6,0.319,0.409,0.728,0.6
13,Bo BichetteTOR,SS,93,390,52,102,0.262,21,0,14,52,165,25,101,7,0.305,0.423,0.728,1.1
16,Matt OlsonATL,1B,95,368,45,94,0.255,34,0,18,62,182,47,100,0,0.341,0.495,0.836,1.8
16,Joey GalloNYY,RF,77,225,32,37,0.164,4,1,12,24,79,40,100,2,0.291,0.351,0.642,0.2
16,Luke VoitSD,DH,73,268,34,60,0.224,15,0,12,40,111,34,100,1,0.31,0.414,0.725,0.6
19,Cody BellingerLAD,CF,86,312,45,65,0.208,14,2,12,35,119,25,98,11,0.27,0.381,0.651,1.3
19,Rhys HoskinsPHI,1B,92,340,49,83,0.244,19,2,19,44,163,46,98,0,0.338,0.479,0.817,2.3
21,Mike TroutLAA,CF,79,282,55,76,0.27,17,2,24,51,169,39,97,1,0.368,0.599,0.967,3.8
21,Franmil ReyesCLE,DH,60,227,21,49,0.216,8,0,8,26,81,13,97,1,0.259,0.357,0.616,-0.7
23,Nick CastellanosPHI,RF,92,359,36,89,0.248,20,0,8,46,133,22,95,4,0.294,0.37,0.664,-1
24,Randy ArozarenaTB,LF,89,343,42,87,0.254,20,2,12,44,147,24,94,19,0.315,0.429,0.743,1
25,Ryan McMahonCOL,3B,90,315,37,76,0.241,15,3,7,41,118,41,93,5,0.335,0.375,0.71,2
25,Jorge MateoBAL,SS,86,282,33,58,0.206,13,4,7,24,100,16,93,22,0.257,0.355,0.612,2
25,Shohei OhtaniLAA,SP,90,336,51,86,0.256,15,2,19,56,162,44,93,10,0.347,0.482,0.829,1.7
28,Giancarlo StantonNYY,DH,79,288,40,66,0.229,6,0,24,61,144,35,92,0,0.31,0.5,0.81,1.3
29,Christian YelichMIL,LF,89,331,59,83,0.251,13,3,8,31,126,48,91,13,0.349,0.381,0.73,1.6
29,Kole CalhounTEX,RF,86,290,33,64,0.221,14,1,11,41,113,20,91,2,0.278,0.39,0.668,-0.2
29,Byron BuxtonMIN,CF,73,273,50,59,0.216,11,3,23,43,145,24,91,2,0.293,0.531,0.824,2.9
32,Eduardo EscobarNYM,3B,87,334,37,74,0.222,18,3,11,40,131,26,90,0,0.276,0.392,0.668,-0.1
32,Jorge SolerMIA,LF,73,270,32,56,0.207,13,0,13,34,108,31,90,0,0.295,0.4,0.695,0.6
34,Matt ChapmanTOR,3B,88,310,48,72,0.232,16,0,16,49,136,29,89,0,0.305,0.439,0.744,1.4
35,Tommy PhamCIN,LF,82,306,53,73,0.239,10,1,11,36,118,40,87,7,0.326,0.386,0.711,0.8
35,Trent GrishamSD,CF,92,297,37,57,0.192,10,2,10,34,101,40,87,4,0.292,0.34,0.632,1
37,Willy AdamesMIL,SS,72,283,50,62,0.219,14,0,20,52,136,28,86,3,0.292,0.481,0.772,2.3
38,Avisail GarciaMIA,RF,80,292,28,68,0.233,8,0,7,29,97,11,85,4,0.269,0.332,0.601,-0.7
38,Garrett CooperMIA,1B,83,298,28,83,0.279,21,1,7,40,127,27,85,0,0.345,0.426,0.771,1
38,Bobby Witt Jr.KC,SS,89,347,49,88,0.254,18,5,13,47,155,20,85,18,0.298,0.447,0.744,1
41,Paul GoldschmidtSTL,1B,91,344,65,114,0.331,28,0,21,72,205,47,84,5,0.414,0.596,1.01,4.8
41,J.D. MartinezBOS,DH,81,318,51,96,0.302,30,0,9,38,153,31,84,0,0.368,0.481,0.849,1.4
41,Robbie GrossmanDET,LF,74,248,22,52,0.21,11,1,2,22,71,34,84,3,0.316,0.286,0.602,0.3
41,Ryan MountcastleBAL,1B,80,314,40,84,0.268,21,0,14,46,147,18,84,4,0.307,0.468,0.775,1.6
41,Jake CronenworthSD,2B,93,357,60,86,0.241,23,3,9,49,142,42,84,1,0.336,0.398,0.734,3
41,Nathaniel LoweTEX,1B,87,328,43,89,0.271,13,1,13,40,143,25,84,1,0.323,0.436,0.759,0.3
47,Marcell OzunaATL,DH,89,343,42,76,0.222,12,0,18,38,142,26,83,2,0.278,0.414,0.692,-0.5
47,Francisco LindorNYM,SS,93,363,54,89,0.245,12,3,16,66,155,36,83,10,0.321,0.427,0.748,2.8
49,Josh DonaldsonNYY,3B,74,267,32,62,0.232,18,0,9,35,107,30,82,2,0.315,0.401,0.716,2.1
49,Teoscar HernandezTOR,RF,70,268,36,73,0.272,17,1,13,45,131,18,82,5,0.323,0.489,0.812,1.5
