Rank,Player,Strikeouts
1,Suarez • SEA,98
2,Wisdom • CHC,93
3,Taylor • LAD,89
NA,Schwarber • PHI,89
5,Story • BOS,86
6,Duvall • ATL,85
NA,Rodriguez • SEA,85
8,Riley • ATL,84
9,Marsh • LAA,82
10,Cron • COL,81
