Rank,Player,Strikeouts
1,Rodriguez • SEA,23
2,Swanson • ATL,22
3,Aquino • CIN,21
NA,Votto • CIN,21
NA,Adell • LAA,21
NA,Stanton • NYY,21
7,Reyes • CLE,20
NA,Ohtani • LAA,20
9,Duvall • ATL,19
NA,Murphy • OAK,19
NA,Bart • SFG,19
